date,home_team,away_team,tournament,home_form_wins_10,home_form_draws_10,home_form_losses_10,home_form_gf_10,home_form_gc_10,home_form_ppg_10,home_form_corners_for_10,home_form_yellows_10,home_form_streak,away_form_wins_10,away_form_draws_10,away_form_losses_10,away_form_gf_10,away_form_gc_10,away_form_ppg_10,away_form_corners_for_10,away_form_yellows_10,away_form_streak,diff_form_wins_10,diff_form_draws_10,diff_form_losses_10,diff_form_gf_10,diff_form_gc_10,diff_form_ppg_10,diff_form_corners_for_10,diff_form_yellows_10,is_neutral,same_confederation,stage_ordinal,home_confederation,away_confederation,ref_yellow_per_match,ref_red_per_match,target_result,target_over25,target_btts,target_total_goals,target_ht_result,target_corners,target_over85c,target_yellows,target_over35y,target_red,target_first_scorer
1990-01-12,Algeria,Mali,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,0,0,CAF,OTHER,,,H,1,0,5.0,,,,,,,
1990-01-14,Algeria,Cameroon,Friendly,1.0,0.0,0.0,5.0,0.0,3.0,,,1,,,,,,,,,0,,,,,,,,,1,1,0,CAF,CAF,,,H,1,1,4.0,,,,,,,
1990-01-17,Greece,Belgium,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,0,0,OTHER,UEFA,,,H,0,0,2.0,,,,,,,
1990-01-17,Mexico,Argentina,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,0,0,CONCACAF,CONMEBOL,,,H,0,0,2.0,,,,,,,
1990-01-20,Malawi,Tanzania,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,1,0,OTHER,OTHER,,,D,1,1,4.0,,,,,,,
1990-01-20,Eswatini,Botswana,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,1,0,OTHER,OTHER,,,H,1,1,4.0,,,,,,,
1990-01-21,Kuwait,France,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,0,0,OTHER,UEFA,,,A,0,0,1.0,,,,,,,
1990-01-21,Eswatini,Tanzania,Friendly,1.0,0.0,0.0,3.0,1.0,3.0,,,1,0.0,1.0,0.0,2.0,2.0,1.0,,,0,1.0,-1.0,0.0,1.0,-1.0,2.0,,,0,1,0,OTHER,OTHER,,,A,0,0,1.0,,,,,,,
1990-01-21,Botswana,Malawi,Friendly,0.0,0.0,1.0,1.0,3.0,0.0,,,-1,0.0,1.0,0.0,2.0,2.0,1.0,,,0,0.0,-1.0,1.0,-1.0,1.0,-1.0,,,1,1,0,OTHER,OTHER,,,D,1,1,4.0,,,,,,,
1990-01-23,Botswana,Tanzania,Friendly,0.0,0.5,0.5,1.5,2.5,0.5,,,0,0.5,0.5,0.0,1.5,1.0,2.0,,,1,-0.5,0.0,0.5,0.0,1.5,-1.5,,,1,1,0,OTHER,OTHER,,,D,0,0,0.0,,,,,,,
1990-01-24,France,German DR,Friendly,1.0,0.0,0.0,1.0,0.0,3.0,,,1,,,,,,,,,0,,,,,,,,,1,0,0,UEFA,OTHER,,,H,1,0,3.0,,,,,,,
1990-01-24,Liberia,Senegal,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,0,0,OTHER,CAF,,,A,0,0,1.0,,,,,,,
1990-01-25,Nigeria,Ivory Coast,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,1,0,CAF,CAF,,,H,0,0,2.0,,,,,,,
1990-01-25,United Arab Emirates,Egypt,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,0,0,OTHER,CAF,,,A,1,1,3.0,,,,,,,
1990-01-26,Kuwait,German DR,Friendly,0.0,0.0,1.0,0.0,1.0,0.0,,,-1,0.0,0.0,1.0,0.0,3.0,0.0,,,-1,0.0,0.0,0.0,0.0,-2.0,0.0,,,0,1,0,OTHER,OTHER,,,A,1,1,3.0,,,,,,,
1990-01-27,Ivory Coast,Liberia,Friendly,0.0,0.0,1.0,0.0,2.0,0.0,,,-1,0.0,0.0,1.0,0.0,1.0,0.0,,,-1,0.0,0.0,0.0,0.0,1.0,0.0,,,1,0,0,CAF,OTHER,,,H,0,0,1.0,,,,,,,
1990-01-27,United Arab Emirates,Egypt,Friendly,0.0,0.0,1.0,1.0,2.0,0.0,,,-1,1.0,0.0,0.0,2.0,1.0,3.0,,,1,-1.0,0.0,1.0,-1.0,1.0,-3.0,,,0,0,0,OTHER,CAF,,,H,0,0,1.0,,,,,,,
1990-01-28,Nigeria,Senegal,Friendly,1.0,0.0,0.0,2.0,0.0,3.0,,,1,1.0,0.0,0.0,1.0,0.0,3.0,,,1,0.0,0.0,0.0,1.0,0.0,0.0,,,0,1,0,CAF,CAF,,,D,0,1,2.0,,,,,,,
1990-02-02,Iran,Poland,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,0,0,AFC,UEFA,,,A,0,0,2.0,,,,,,,
1990-02-04,Algeria,Romania,Friendly,1.0,0.0,0.0,4.0,0.5,3.0,,,2,,,,,,,,,0,,,,,,,,,0,0,0,CAF,OTHER,,,D,0,0,0.0,,,,,,,
1990-02-04,Iran,Poland,Friendly,0.0,0.0,1.0,0.0,2.0,0.0,,,-1,1.0,0.0,0.0,2.0,0.0,3.0,,,1,-1.0,0.0,1.0,-2.0,2.0,-3.0,,,0,0,0,AFC,UEFA,,,A,0,0,1.0,,,,,,,
1990-02-05,United Arab Emirates,Denmark,Friendly,0.5,0.0,0.5,1.0,1.0,1.5,,,1,,,,,,,,,0,,,,,,,,,0,0,0,OTHER,UEFA,,,D,0,1,2.0,,,,,,,
1990-02-10,Uganda,Mauritius,Friendly,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,1,0,OTHER,OTHER,,,H,1,1,5.0,,,,,,,
1990-02-11,Kuwait,Poland,Friendly,0.0,0.0,1.0,0.5,1.5,0.0,,,-2,1.0,0.0,0.0,1.5,0.0,3.0,,,2,-1.0,0.0,1.0,-1.0,1.5,-3.0,,,1,0,0,OTHER,UEFA,,,D,0,1,2.0,,,,,,,
1990-02-11,Togo,Cameroon,Friendly,,,,,,,,,0,0.0,0.0,1.0,1.0,3.0,0.0,,,-1,,,,,,,,,0,0,0,OTHER,CAF,,,D,0,1,2.0,,,,,,,
1990-02-12,United Arab Emirates,Finland,Friendly,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.3333333333333333,,,0,,,,,,,,,0,,,,,,,,,0,1,0,OTHER,OTHER,,,D,0,1,2.0,,,,,,,
