team_canonical,players,matched_fbref,props_ready,shots_ready,defense_ready,keeper_ready,total_fbref_minutes
Portugal,26,26,26,23,23,3,61521
France,26,25,25,22,22,3,58120
Netherlands,26,25,25,22,22,3,54695
Belgium,26,25,24,21,21,3,52984
Germany,26,24,24,22,22,2,51280
Senegal,26,24,24,21,21,3,43879
Spain,26,24,24,21,21,3,54930
England,26,25,23,21,21,2,55627
Ivory Coast,26,23,23,21,21,2,41650
Switzerland,26,22,21,19,19,2,43759
Argentina,26,21,21,18,18,3,38185
Morocco,26,21,21,20,20,1,33102
Croatia,26,22,20,20,20,0,38958
United States,26,20,19,16,16,3,31649
Austria,26,19,17,17,17,0,32149
Japan,26,19,17,16,16,1,34649
Brazil,26,18,17,15,15,2,38693
Sweden,26,18,17,17,17,0,28686
Algeria,26,16,16,16,16,0,30398
Canada,26,19,15,13,13,2,20506
Turkey,26,17,15,14,14,1,26830
Ghana,26,15,12,12,12,0,24696
Colombia,26,12,11,11,11,0,24236
Uruguay,26,11,11,11,11,0,18215
Ecuador,26,12,10,10,10,0,18694
Norway,26,11,10,10,10,0,20938
DR Congo,26,11,9,8,8,1,14316
Bosnia and Herzegovina,26,10,9,8,8,1,17022
Czech Republic,26,10,9,7,7,2,19981
Curacao,26,9,9,9,9,0,13657
Mexico,26,9,9,9,9,0,12425
Cape Verde,26,11,8,8,8,0,11750
Haiti,26,10,8,8,8,0,10584
Australia,26,8,8,7,7,1,14008
Paraguay,26,8,8,8,8,0,11262
Tunisia,26,9,7,7,7,0,12312
Scotland,26,9,5,5,5,0,8150
Saudi Arabia,26,4,4,4,4,0,6232
South Africa,26,4,4,4,4,0,5131
New Zealand,26,4,3,3,3,0,4661
Egypt,26,3,3,3,3,0,4788
Iraq,26,3,2,2,2,0,2887
Panama,26,3,2,1,1,1,3775
Uzbekistan,26,2,2,2,2,0,4348
Jordan,26,2,1,1,1,0,719
Iran,26,1,1,1,1,0,903
Qatar,26,0,0,0,0,0,0
South Korea,26,0,0,0,0,0,0
