fbref_row_id,player_name,team,competition,season,normalized_player_name,fbref_club_key,minutes
2782,Aaron Anselmino,Dortmund,GER-Bundesliga,2526,aaron anselmino,dortmund,368
2631,Aaron Anselmino,Strasbourg,FRA-Ligue 1,2526,aaron anselmino,strasbourg,16
6613,Aaron Appindangoyé,Kocaelispor,TUR-Super Lig,2526,aaron appindangoye,kocaelispor,315
218,Aaron Bibout,Genk,BEL-Belgian Pro League,2526,aaron bibout,genk,1107
4792,Aaron Bouwman,Ajax,NED-Eredivisie,2526,aaron bouwman,ajax,555
6999,Aaron Herrera,D.C. United,USA-Major League Soccer,2026,aaron herrera,d c united,387
7155,Aaron Long,LAFC,USA-Major League Soccer,2026,aaron long,lafc,262
1949,Aaron Mayol,Valencia,ESP-La Liga,2526,aaron mayol,valencia,
5356,Aaron Meijers,Volendam,NED-Eredivisie,2526,aaron meijers,volendam,499
6569,Aaron Opoku,Kayserispor,TUR-Super Lig,2526,aaron opoku,kayserispor,1232
1043,Aaron Ramsdale,Newcastle United,ENG-Premier League,2526,aaron ramsdale,newcastle united,1004
741,Aaron Ramsey,Burnley,ENG-Premier League,2526,aaron ramsey,burnley,
3267,Aaron Zehnter,Wolfsburg,GER-Bundesliga,2526,aaron zehnter,wolfsburg,1456
1714,Aarón Escandell,Oviedo,ESP-La Liga,2526,aaron escandell,oviedo,3240
3547,Aarón Martín,Genoa,ITA-Serie A,2526,aaron martin,genoa,2156
2437,Abakar Sylla,Nantes,FRA-Ligue 1,2526,abakar sylla,nantes,65
2632,Abakar Sylla,Strasbourg,FRA-Ligue 1,2526,abakar sylla,strasbourg,2
4711,Abbas Al Hassan,Neom,KSA-Saudi Pro League,2526,abbas al hassan,neom,314
6159,Abbosbek Fayzullayev,Başakşehir,TUR-Super Lig,2526,abbosbek fayzullayev,basaksehir,1103
2170,Abdallah Sima,Lens,FRA-Ligue 1,2526,abdallah sima,lens,718
1262,Abde Rebbach,Alavés,ESP-La Liga,2526,abde rebbach,alaves,1496
1525,Abdel Abqar,Getafe,ESP-La Liga,2526,abdel abqar,getafe,1437
2590,Abdelhamid Ait Boudlal,Rennes,FRA-Ligue 1,2526,abdelhamid ait boudlal,rennes,1403
3504,Abdelhamid Sabiri,Fiorentina,ITA-Serie A,2526,abdelhamid sabiri,fiorentina,27
4678,Abdelkader Bedrane,Damac,KSA-Saudi Pro League,2526,abdelkader bedrane,damac,2357
247,Abdelkahar Kadri,Gent,BEL-Belgian Pro League,2526,abdelkahar kadri,gent,2001
