team_canonical,accent_diff,club_and_position_mismatch,club_mismatch,club_suffix_only,left_only,name_format_diff,name_fuzzy_match,name_partial,position_mismatch,right_only
Algeria,4,0,0,13,7,0,2,0,0,7
Argentina,10,0,0,12,1,0,1,0,2,1
Australia,0,0,3,19,0,1,0,1,2,0
Austria,0,1,6,17,0,0,1,0,1,0
Belgium,1,0,1,22,0,0,0,0,2,0
Bosnia and Herzegovina,0,1,3,20,1,0,0,0,1,1
Brazil,8,0,1,15,0,0,0,2,0,0
Canada,3,0,6,13,1,0,1,0,2,1
Cape Verde,0,2,5,11,3,0,1,0,4,3
Colombia,9,1,1,9,0,0,1,4,1,0
Croatia,0,0,4,21,0,0,0,0,1,0
Curacao,2,1,2,17,0,1,2,0,1,0
Czech Republic,14,0,1,9,0,0,0,0,2,0
DR Congo,3,0,2,17,1,1,0,0,2,1
Ecuador,9,0,4,10,0,0,0,0,3,0
Egypt,0,0,0,14,2,1,6,1,2,2
England,1,0,0,24,0,1,0,0,0,0
France,10,0,0,13,0,1,0,0,2,0
Germany,0,1,2,18,0,0,2,0,3,0
Ghana,2,2,3,6,11,0,0,1,1,11
Haiti,4,0,5,14,0,0,1,2,0,0
Iran,0,2,16,5,0,0,2,0,1,0
Iraq,0,1,7,12,1,1,2,0,2,1
Ivory Coast,9,0,3,14,0,0,0,0,0,0
Japan,0,3,1,11,9,0,1,0,1,9
Jordan,0,2,8,3,8,3,2,0,0,8
Mexico,9,1,5,10,0,0,0,0,1,0
Morocco,0,0,4,8,13,0,0,0,1,13
Netherlands,2,1,3,19,0,0,0,0,1,0
New Zealand,0,1,3,18,0,0,1,0,3,0
Norway,0,1,1,9,6,0,6,0,3,6
Panama,11,1,4,7,0,0,0,1,2,0
Paraguay,7,0,4,4,8,0,0,0,3,8
Portugal,10,0,0,10,6,0,0,0,0,6
Qatar,0,1,2,9,12,2,0,0,0,12
Saudi Arabia,0,1,2,3,10,7,3,0,0,10
Scotland,1,0,5,14,1,2,1,0,2,1
Senegal,3,0,3,9,11,0,0,0,0,11
South Africa,0,0,1,13,12,0,0,0,0,12
South Korea,0,0,3,0,10,11,0,0,2,10
Spain,8,0,0,16,1,0,1,0,0,1
Sweden,2,0,5,16,1,0,0,1,1,1
Switzerland,1,0,3,13,9,0,0,0,0,9
Tunisia,0,0,1,8,17,0,0,0,0,17
Turkey,8,2,4,0,5,0,5,0,2,5
United States,1,0,3,11,8,2,0,0,1,8
Uruguay,11,0,4,8,0,0,1,0,2,0
Uzbekistan,0,0,14,4,8,0,0,0,0,8
