team,hist_matches,in_odds
Curacao,174,False
Cape Verde,198,False
New Zealand,232,False
Bosnia and Herzegovina,281,False
Haiti,297,False
Canada,329,False
Scotland,330,False
DR Congo,340,False
Austria,341,False
Uzbekistan,352,False
Czech Republic,358,False
Belgium,372,False
Croatia,376,False
Switzerland,379,False
Australia,380,False
Algeria,391,False
Norway,392,False
Paraguay,395,False
Turkey,395,False
Panama,399,False
Morocco,401,False
Ecuador,407,False
Portugal,411,False
Ivory Coast,411,False
Senegal,414,False
Ghana,417,False
Uruguay,422,False
Netherlands,422,False
Jordan,425,False
England,428,False
Iraq,430,False
Spain,438,False
France,448,False
Colombia,449,False
Iran,450,False
Tunisia,452,False
South Africa,452,False
Sweden,458,False
Argentina,466,False
Germany,479,False
Qatar,499,False
Egypt,508,False
Japan,522,False
Brazil,528,False
South Korea,552,False
Saudi Arabia,574,False
United States,616,False
Mexico,653,False
