event_id,commence_time,home_team,away_team
3fc968505e3de3acbb9baa2876925172,2022-11-20T16:00:00Z,Qatar,Ecuador
5e4f48c04a981bd11a4b1fcd25afee05,2022-11-21T13:00:00Z,England,Iran
9533c6e55d496c6dad743ccc0b501c1a,2022-11-21T16:00:00Z,Senegal,Netherlands
8e0999843fdf3e0d62c0dbcba6aa0db6,2022-11-21T19:00:00Z,USA,Wales
ec0ead698004153c8285f6a480720533,2022-11-22T10:00:00Z,Argentina,Saudi Arabia
d469ba742989912aff933f18ecff293f,2022-11-22T13:00:00Z,Denmark,Tunisia
f6e03ee51dcb0b665a4ffea3109a9ff8,2022-11-22T16:00:00Z,Mexico,Poland
785bbfc8cf61720facd1ea9722e3a9f6,2022-11-22T19:00:00Z,France,Australia
b8b2f91952f1fb757663073fa8f6be73,2022-11-23T10:00:00Z,Morocco,Croatia
e6b431d1e8c3a319d093b1a68f6e04ba,2022-11-23T13:00:00Z,Germany,Japan
fe6d9828e97cf2499c3d6028a4436916,2022-11-23T16:00:00Z,Spain,Costa Rica
6578d98e1b9b58333411183210dae15c,2022-11-23T19:00:00Z,Belgium,Canada
3bac7fa7996eae333882dc285516e958,2022-11-24T10:00:00Z,Switzerland,Cameroon
c7d6f5115d90acd1e053437873883df5,2022-11-24T13:00:00Z,Uruguay,South Korea
6d94f2a7b01efc0efcfc6ac3a54eae9f,2022-11-24T16:00:00Z,Portugal,Ghana
2926559f6fccd9bf4dee888e3266ff67,2022-11-24T19:00:00Z,Brazil,Serbia
8be6a050d6cd01f6dd86fd71ee7bdd28,2022-11-25T10:00:00Z,Wales,Iran
8939f73553601e7a91f3c1235e679283,2022-11-25T13:00:00Z,Qatar,Senegal
bbaed8df807d7c15d636beea865d7ff4,2022-11-25T16:00:00Z,Netherlands,Ecuador
df3188f10c5a7cf168c8ed01a2af0a20,2022-11-25T19:00:00Z,England,USA
0021f1b4bb108d7aa3c907df88eeaf8f,2022-11-26T10:00:00Z,Tunisia,Australia
ef266c1d130817e3ddb927fd03ac1bdd,2022-11-26T13:00:00Z,Poland,Saudi Arabia
8de9508f543f22fa1e8b14bc9f3f7d84,2022-11-26T16:00:00Z,France,Denmark
9efa2a256d710b0b665146a2736ac2e7,2022-11-26T19:00:00Z,Argentina,Mexico
8cd830606b791e921793ed5e212d1744,2022-11-27T10:00:00Z,Japan,Costa Rica
00bf279afb039915389dfee0cbf7e8a7,2022-11-27T13:00:00Z,Belgium,Morocco
f23fe6e91b37c3a095d4bc76fc730fe2,2022-11-27T16:00:00Z,Croatia,Canada
ceeda1b34faa6076a4b711b932e48b58,2022-11-27T19:00:00Z,Spain,Germany
44f9599f74a277582189ed1825458515,2022-11-28T10:00:00Z,Cameroon,Serbia
573d0e270a243a5f49d0292de7e4e619,2022-11-28T13:00:00Z,South Korea,Ghana
e0246b73d8bac64f6ccfc571bd520b43,2022-11-28T16:00:00Z,Brazil,Switzerland
8a7c33c57ffd051acfd8aeaed1ccaab1,2022-11-28T19:00:00Z,Portugal,Uruguay
1e82e4732ed6240bdbd289809f397492,2022-11-29T15:00:00Z,Ecuador,Senegal
13a68af93ff01780ab8a9840dd5aaf62,2022-11-29T15:00:00Z,Netherlands,Qatar
4805c703dc55c209193f620dc586c435,2022-11-29T19:00:00Z,Wales,England
