match_number,match_date,stage,group,team,opponent,player_key,player_name,position_broad,position_broad_clean,team_position_rank,role_score,data_quality_tier,data_quality_score,base_start_probability,base_expected_minutes,manual_start_probability,manual_expected_minutes,final_start_probability,final_expected_minutes,lineup_status,minutes_source,confidence,notes,manual_override_applied
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_cesar_montes,Cesar Montes,Defender,Defender,5,0.2757,D,0.2,0.25,26.0,,,0.25,26.0,rotation,auto_role_rank_heuristic,0.359,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_edson_alvarez,Edson Alvarez,Defender,Defender,2,0.6383,C,0.451,0.658,51.3,,,0.658,51.3,probable_starter,auto_role_rank_heuristic,0.617,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_israel_reyes,Israel Reyes,Defender,Defender,6,0.2536,C,0.55,0.305,29.4,,,0.305,29.4,rotation,auto_role_rank_heuristic,0.556,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_jesus_gallardo,Jesus Gallardo,Defender,Defender,4,0.3369,C,0.55,0.635,49.8,,,0.635,49.8,probable_starter,auto_role_rank_heuristic,0.577,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_johan_vasquez,Johan Vasquez,Defender,Defender,1,0.935,A,0.95,0.795,59.7,,,0.795,59.7,locked_starter,auto_role_rank_heuristic,0.88,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_jorge_sanchez,Jorge Sanchez,Defender,Defender,3,0.3967,C,0.55,0.64,50.2,,,0.64,50.2,probable_starter,auto_role_rank_heuristic,0.592,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_mateo_chavez,Mateo Chavez,Defender,Defender,7,0.1757,C,0.455,0.299,29.1,,,0.299,29.1,rotation,auto_role_rank_heuristic,0.503,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_alexis_vega,Alexis Vega,Forward,Forward,6,0.1896,D,0.35,0.243,32.2,,,0.243,32.2,rotation,auto_role_rank_heuristic,0.39,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_armando_gonzalez,Armando Gonzalez,Forward,Forward,8,0.0517,D,0.35,0.032,23.4,,,0.032,23.4,bench_option,auto_role_rank_heuristic,0.355,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_cesar_huerta,Cesar Huerta,Forward,Forward,2,0.5396,C,0.436,0.612,47.5,,,0.612,47.5,probable_starter,auto_role_rank_heuristic,0.587,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_guillermo_martinez,Guillermo Martinez,Forward,Forward,7,0.1767,C,0.55,0.299,34.5,,,0.299,34.5,rotation,auto_role_rank_heuristic,0.537,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_julian_quinones,Julian Quinones,Forward,Forward,3,0.5017,B,0.776,0.686,50.5,,,0.686,50.5,probable_starter,auto_role_rank_heuristic,0.737,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_raul_jimenez,Raul Jimenez,Forward,Forward,1,0.649,A,0.882,0.735,52.6,,,0.735,52.6,probable_starter,auto_role_rank_heuristic,0.851,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_roberto_alvarado,Roberto Alvarado,Forward,Forward,5,0.2231,D,0.35,0.246,32.3,,,0.246,32.3,rotation,auto_role_rank_heuristic,0.398,,False
1,2026-06-11,Group Stage,A,Mexico,South Africa,mexico_santiago_gimenez,Santiago Gimenez,Forward,Forward,4,0.4551,C,0.459,0.32,35.4,,,0.32,35.4,rotation,auto_role_rank_heuristic,0.574,,False
