team_canonical,players,tm_profiles,recent_performance,prop_minutes,cards_ready,goal_assist_ready,gk_proxy_ready,manual_reviews,avg_expected_minutes,total_recent_minutes,avg_international_caps
England,26,26,26,26,26,23,3,24,26.195,60677.0,55.55
Netherlands,26,26,26,25,25,22,3,23,25.099,55896.0,56.739
Belgium,26,26,25,25,25,22,3,25,28.811,64377.0,58.444
Germany,26,26,26,24,24,21,3,14,30.778,66292.0,57.4
Portugal,26,26,25,24,24,21,3,21,27.359,65943.0,76.08
France,26,26,24,24,24,21,3,18,31.086,68643.0,59.444
Croatia,26,26,25,23,23,20,3,21,24.405,58687.0,68.4
Mexico,26,26,24,23,23,20,3,24,29.388,56297.0,57.5
Switzerland,26,26,23,23,23,20,3,22,29.582,60553.0,68.118
Argentina,26,26,24,22,22,19,3,15,24.844,50010.0,59.333
Austria,26,26,23,22,22,20,2,21,28.819,51261.0,76.375
Spain,26,25,23,22,22,19,3,20,24.262,50728.0,50.381
Ivory Coast,26,26,23,21,21,18,3,23,29.816,48893.0,29.81
Australia,26,25,22,21,21,18,3,18,30.913,41475.0,50.071
Senegal,26,25,22,21,21,18,3,21,28.791,52371.0,32.533
DR Congo,26,23,22,21,21,19,2,24,23.225,41801.0,28.95
Sweden,26,26,23,20,20,17,3,24,29.043,47814.0,32.409
Japan,26,26,21,20,20,18,2,21,24.39,35857.0,56.824
Norway,26,23,21,20,20,17,3,24,27.47,39768.0,55.2
Turkey,26,22,20,20,20,18,2,21,26.087,47706.0,67.2
Bosnia and Herzegovina,26,25,20,19,19,17,2,21,29.741,47455.0,51.071
Brazil,26,23,19,18,18,16,2,22,29.514,37990.0,38.875
Ghana,26,21,18,17,17,15,2,19,26.169,39456.0,18.375
Colombia,26,26,17,17,17,15,2,21,25.729,32854.0,45.588
Ecuador,26,25,17,16,16,16,0,21,21.142,30374.0,40.133
Morocco,26,24,17,16,16,14,2,24,26.881,41124.0,36.533
United States,26,26,17,15,15,14,1,23,16.209,24164.0,55.263
Czech Republic,26,26,16,15,15,12,3,8,22.926,36802.0,46.867
Algeria,26,25,16,15,15,14,1,22,22.574,28144.0,61.75
Curacao,26,22,15,15,15,12,3,21,21.607,24837.0,40.077
New Zealand,26,26,19,14,14,13,1,18,24.303,29629.0,33.75
Scotland,26,23,18,14,14,11,3,22,20.124,39433.0,44.476
Uruguay,26,26,14,14,14,13,1,23,23.016,37244.0,58.174
Canada,26,24,14,13,13,12,1,19,23.056,32690.0,42.882
Tunisia,26,20,14,12,12,12,0,22,20.235,19725.0,27.182
South Korea,26,20,13,12,12,11,1,24,23.458,20857.0,65.143
Cape Verde,26,18,12,11,11,11,0,24,17.439,16763.0,25.2
Qatar,26,19,11,10,10,7,3,26,31.553,19157.0,74.385
Iran,26,13,10,10,10,8,2,26,31.007,22509.0,73.667
Haiti,26,15,9,9,9,7,2,21,15.767,13983.0,31.0
Panama,26,21,9,8,8,8,0,22,33.467,21107.0,76.8
Egypt,26,17,7,7,7,7,0,25,21.951,13046.0,57.857
Paraguay,26,22,7,6,6,6,0,21,14.632,9660.0,39.167
Iraq,26,20,7,6,6,6,0,24,20.096,6722.0,32.875
Uzbekistan,26,21,3,2,2,2,0,26,12.252,3242.0,71.667
South Africa,26,21,2,2,2,2,0,25,13.269,2157.0,17.5
Jordan,26,22,2,1,1,1,0,25,9.59,1866.0,71.5
Saudi Arabia,26,22,1,1,1,1,0,26,14.196,1448.0,
