player_key,team_id,team_canonical,player_name,player_name_normalized,club_from_squad,club_normalized,position_broad,fbref_url,transfermarkt_url,statsbomb_player_id,needs_manual_review,source
algeria_adam_zorgane,team_algeria,Algeria,Adam Zorgane,adam zorgane,Union Saint-Gilloise,union saint gilloise,Midfielder,,,,False,wc2026_official_squad_corrected
algeria_adel_boulbina,team_algeria,Algeria,Adel Boulbina,adel boulbina,Al-Duhail,al duhail,Forward,,,,False,wc2026_official_squad_corrected
algeria_ahmed_kendouci,team_algeria,Algeria,Ahmed Kendouci,ahmed kendouci,Ceramica Cleopatra,ceramica cleopatra,Midfielder,,,,False,wc2026_official_squad_corrected
algeria_amine_gouiri,team_algeria,Algeria,Amine Gouiri,amine gouiri,Olympique de Marseille,olympique de marseille,Forward,,,,False,wc2026_official_squad_corrected
algeria_anis_hadj_moussa,team_algeria,Algeria,Anis Hadj Moussa,anis hadj moussa,Feyenoord Rotterdam,feyenoord rotterdam,Forward,,,,False,wc2026_official_squad_corrected
algeria_anthony_mandrea,team_algeria,Algeria,Anthony Mandrea,anthony mandrea,SM Caen,sm caen,Goalkeeper,,,,False,wc2026_official_squad_corrected
algeria_aissa_mandi,team_algeria,Algeria,Aïssa Mandi,aissa mandi,Lille,lille,Defender,,,,False,wc2026_official_squad_corrected
algeria_baghdad_bounedjah,team_algeria,Algeria,Baghdad Bounedjah,baghdad bounedjah,Al-Shamal,al shamal,Forward,,,,False,wc2026_official_squad_corrected
algeria_fares_chaibi,team_algeria,Algeria,Farès Chaïbi,fares chaibi,Eintracht Frankfurt,eintracht frankfurt,Midfielder,,,,False,wc2026_official_squad_corrected
algeria_hicham_boudaoui,team_algeria,Algeria,Hicham Boudaoui,hicham boudaoui,Nice,nice,Midfielder,,,,False,wc2026_official_squad_corrected
algeria_houssem_aouar,team_algeria,Algeria,Houssem Aouar,houssem aouar,Al Ittihad,al ittihad,Midfielder,,,,False,wc2026_official_squad_corrected
algeria_ibrahim_maza,team_algeria,Algeria,Ibrahim Maza,ibrahim maza,Bayer Leverkusen,bayer leverkusen,Midfielder,,,,False,wc2026_official_squad_corrected
algeria_ismael_bennacer,team_algeria,Algeria,Ismaël Bennacer,ismael bennacer,Dinamo Zagreb,dinamo zagreb,Midfielder,,,,False,wc2026_official_squad_corrected
algeria_jaouen_hadjam,team_algeria,Algeria,Jaouen Hadjam,jaouen hadjam,Young Boys Bern,young boys bern,Defender,,,,False,wc2026_official_squad_corrected
algeria_luca_zidane,team_algeria,Algeria,Luca Zidane,luca zidane,Granada,granada,Goalkeeper,,,,False,wc2026_official_squad_corrected
algeria_mehdi_dorval,team_algeria,Algeria,Mehdi Dorval,mehdi dorval,SSC Bari,ssc bari,Defender,,,,False,wc2026_official_squad_corrected
algeria_mohamed_amine_tougai,team_algeria,Algeria,Mohamed Amine Tougai,mohamed amine tougai,Esperance,esperance,Defender,,,,False,wc2026_official_squad_corrected
algeria_mohamed_amoura,team_algeria,Algeria,Mohamed Amoura,mohamed amoura,VfL Wolfsburg,vfl wolfsburg,Forward,,,,False,wc2026_official_squad_corrected
algeria_oussama_benbot,team_algeria,Algeria,Oussama Benbot,oussama benbot,USM Alger,usm alger,Goalkeeper,,,,False,wc2026_official_squad_corrected
algeria_rafiq_belghali,team_algeria,Algeria,Rafiq Belghali,rafiq belghali,Hellas Verona,hellas verona,Defender,,,,False,wc2026_official_squad_corrected
algeria_ramiz_zerrouki,team_algeria,Algeria,Ramiz Zerrouki,ramiz zerrouki,FC Twente,fc twente,Midfielder,,,,False,wc2026_official_squad_corrected
algeria_ramy_bensebaini,team_algeria,Algeria,Ramy Bensebaini,ramy bensebaini,Borussia Dortmund,borussia dortmund,Defender,,,,False,wc2026_official_squad_corrected
algeria_rayan_ait_nouri,team_algeria,Algeria,Rayan Ait Nouri,rayan ait nouri,Manchester City,manchester city,Defender,,,,False,wc2026_official_squad_corrected
algeria_riyad_mahrez,team_algeria,Algeria,Riyad Mahrez,riyad mahrez,Al-Ahli,al ahli,Forward,,,,False,wc2026_official_squad_corrected
algeria_youcef_atal,team_algeria,Algeria,Youcef Atal,youcef atal,Al-Sadd SC,al sadd sc,Defender,,,,False,wc2026_official_squad_corrected
algeria_zineddine_belaid,team_algeria,Algeria,Zineddine Belaïd,zineddine belaid,JS Kabylie,js kabylie,Defender,,,,False,wc2026_official_squad_corrected
argentina_alexis_mac_allister,team_argentina,Argentina,Alexis Mac Allister,alexis mac allister,Liverpool,liverpool,Midfielder,,,,False,wc2026_official_squad_corrected
argentina_cristian_romero,team_argentina,Argentina,Cristian Romero,cristian romero,Tottenham,tottenham,Defender,,,,False,wc2026_official_squad_corrected
argentina_emiliano_martinez,team_argentina,Argentina,Emiliano Martínez,emiliano martinez,Aston Villa,aston villa,Goalkeeper,,,,False,wc2026_official_squad_corrected
argentina_enzo_fernandez,team_argentina,Argentina,Enzo Fernández,enzo fernandez,Chelsea,chelsea,Midfielder,,,,False,wc2026_official_squad_corrected
argentina_exequiel_palacios,team_argentina,Argentina,Exequiel Palacios,exequiel palacios,Bayer Leverkusen,bayer leverkusen,Midfielder,,,,False,wc2026_official_squad_corrected
argentina_ezequiel_fernandez,team_argentina,Argentina,Ezequiel Fernández,ezequiel fernandez,Bayer Leverkusen (Alemania),bayer leverkusen alemania,Midfielder,,,,False,wc2026_official_squad_corrected
