referee_name,country,confederation,tournament,matches,yellow_per_match,red_per_match,yellow_per_match_model,red_per_match_model,rate_is_measured
Michael Oliver,England,UEFA,World Cup 2026,546.0,3.49,0.07,3.502,0.071,1
Anthony Taylor,England,UEFA,World Cup 2026,561.0,3.78,0.1,3.786,0.1,1
Francois Letexier,France,UEFA,World Cup 2026,285.0,3.99,0.18,3.992,0.178,1
Clement Turpin,France,UEFA,World Cup 2026,435.0,3.36,0.19,3.378,0.188,1
Felix Zwayer,Germany,UEFA,World Cup 2026,556.0,4.07,0.08,4.069,0.081,1
Maurizio Mariani,Italy,UEFA,World Cup 2026,289.0,4.81,0.18,4.779,0.178,1
Danny Makkelie,Netherlands,UEFA,World Cup 2026,506.0,3.4,0.09,3.415,0.091,1
Espen Eskas,Norway,UEFA,World Cup 2026,166.0,3.43,0.08,3.471,0.083,1
Szymon Marciniak,Poland,UEFA,World Cup 2026,510.0,4.29,0.1,4.284,0.1,1
Joao Pinheiro,Portugal,UEFA,World Cup 2026,390.0,4.41,0.1,4.399,0.101,1
Istvan Kovacs,Romania,UEFA,World Cup 2026,385.0,5.39,0.13,5.349,0.13,1
Slavko Vincic,Slovenia,UEFA,World Cup 2026,330.0,4.13,0.1,4.127,0.101,1
Alejandro Hernandez Hernandez,Spain,UEFA,World Cup 2026,178.0,5.15,0.22,5.08,0.214,1
Glenn Nyberg,Sweden,UEFA,World Cup 2026,195.0,3.54,0.12,3.569,0.12,1
Sandro Schaerer,Switzerland,UEFA,World Cup 2026,156.0,4.33,0.19,4.31,0.185,1
Adham Makhadmeh,Jordan,AFC,World Cup 2026,18.0,4.44,0.22,4.245,0.222,1
Ning Ma,China,AFC,World Cup 2026,127.0,4.39,0.34,4.352,0.33,1
Alireza Faghani,Australia,AFC,World Cup 2026,132.0,4.26,0.21,4.234,0.211,1
Yusuke Araki,Japan,AFC,World Cup 2026,131.0,2.87,0.16,2.961,0.166,1
Abdulrahman Al Jassim,Qatar,AFC,World Cup 2026,23.0,5.17,0.19,4.753,0.202,1
Khalid Al Turais,Saudi Arabia,AFC,World Cup 2026,27.0,4.52,0.11,4.346,0.146,1
Ilgiz Tantashev,Uzbekistan,AFC,World Cup 2026,20.0,3.7,0.15,3.795,0.178,1
Omar Al-Ali,UAE,AFC,World Cup 2026,23.0,3.91,0.3,3.925,0.275,1
Mustapha Ghorbal,Algeria,CAF,World Cup 2026,15.0,3.27,0.07,3.415,0.146,1
Pierre Atcho,Gabon,CAF,World Cup 2026,6.0,4.0,0.17,3.731,0.217,1
Amin Mohamed,Egypt,CAF,World Cup 2026,9.0,2.22,0.44,3.007,0.326,1
Jalal Jayed,Morocco,CAF,World Cup 2026,6.0,3.5,0.05,3.565,0.177,1
Dahane Beida,Mauritania,CAF,World Cup 2026,11.0,3.27,0.27,3.441,0.255,1
Omar Abdulkadir Artan,Somalia,CAF,World Cup 2026,7.0,2.43,0.14,3.167,0.204,1
Abongile Tom,South Africa,CAF,World Cup 2026,93.0,3.89,0.27,3.857,0.267,1
Drew Fischer,Canada,CONCACAF,World Cup 2026,141.0,3.27,0.18,3.325,0.182,1
Juan Calderon,Costa Rica,CONCACAF,World Cup 2026,29.0,3.21,0.38,3.432,0.327,1
Said Martinez,Honduras,CONCACAF,World Cup 2026,40.0,4.05,0.18,4.031,0.185,1
Oshane Nation,Jamaica,CONCACAF,World Cup 2026,30.0,3.83,0.1,3.869,0.128,1
Cesar Ramos,Mexico,CONCACAF,World Cup 2026,25.0,5.04,0.12,4.692,0.146,1
Katia Garcia,Mexico,CONCACAF,World Cup 2026,34.0,4.47,0.12,4.339,0.141,1
Ivan Barton,El Salvador,CONCACAF,World Cup 2026,50.0,4.84,0.4,4.671,0.361,1
Ismail Elfath,United States,CONCACAF,World Cup 2026,112.0,4.34,0.24,4.304,0.236,1
Tori Penso,United States,CONCACAF,World Cup 2026,78.0,3.86,0.09,3.874,0.105,1
Yael Falcon Perez,Argentina,CONMEBOL,World Cup 2026,154.0,5.47,0.28,5.431,0.282,1
Dario Herrera,Argentina,CONMEBOL,World Cup 2026,203.0,5.52,0.41,5.487,0.404,1
Facundo Tello,Argentina,CONMEBOL,World Cup 2026,14.0,4.78,0.07,4.849,0.179,1
Ramon Abatti,Brazil,CONMEBOL,World Cup 2026,153.0,4.67,0.29,4.689,0.291,1
Raphael Claus,Brazil,CONMEBOL,World Cup 2026,212.0,4.13,0.2,4.173,0.206,1
Wilton Sampaio,Brazil,CONMEBOL,World Cup 2026,211.0,5.1,0.24,5.091,0.244,1
Cristian Garay,Chile,CONMEBOL,World Cup 2026,161.0,4.37,0.39,4.409,0.384,1
Andres Rojas,Colombia,CONMEBOL,World Cup 2026,139.0,5.43,0.41,5.39,0.402,1
Juan Gabriel Benitez,Paraguay,CONMEBOL,World Cup 2026,141.0,4.4,0.25,4.441,0.254,1
Kevin Ortega,Peru,CONMEBOL,World Cup 2026,189.0,5.19,0.37,5.174,0.366,1
Gustavo Tejera,Uruguay,CONMEBOL,World Cup 2026,209.0,4.98,0.3,4.977,0.3,1
Jesus Valenzuela,Venezuela,CONMEBOL,World Cup 2026,98.0,4.99,0.26,4.983,0.265,1
Campbell-Kirk Kawana-Waugh,New Zealand,OFC,World Cup 2026,7.0,3.14,0.14,3.14,0.14,1
