team_canonical,avg_yellow_per_90,avg_red_per_90,avg_goals_per_90,avg_assists_per_90,avg_international_caps,n_players_matched,n_players_total
Algeria,0.7274,0.0169,0.755,0.6244,61.8,17,26
Argentina,0.7481,0.0268,0.7673,0.5337,60.0,26,26
Australia,0.5802,0.0215,0.406,0.4942,55.9,21,26
Austria,0.5022,0.013,0.4421,0.3806,82.6,23,26
Belgium,0.4887,0.0369,0.7396,0.532,59.8,25,26
Bosnia and Herzegovina,0.8019,0.0507,0.9078,0.4723,53.9,20,26
Brazil,0.8791,0.0378,1.3476,0.751,36.5,24,26
Canada,0.4015,0.0104,0.7254,0.4515,45.2,24,26
Cape Verde,0.7403,0.04,0.9972,0.6228,24.8,16,26
Colombia,0.6467,0.0616,0.6218,0.435,54.3,24,26
Croatia,0.5431,0.0419,1.0781,0.6402,68.4,26,26
Curacao,0.6229,0.0188,0.3973,0.3646,38.8,20,26
Czech Republic,0.5431,0.0129,0.9865,0.4277,52.8,18,26
DR Congo,0.9423,0.0527,1.1191,0.5586,28.9,23,26
Ecuador,0.5828,0.0697,0.534,0.4129,42.4,21,26
Egypt,0.5203,0.0,2.0769,1.3246,49.8,5,26
England,0.5945,0.025,1.3813,0.8664,57.4,25,26
France,0.5081,0.0177,1.1574,0.7375,59.4,24,26
Germany,0.6671,0.0262,1.1751,0.8095,55.6,23,26
Ghana,0.7306,0.0704,0.676,0.4642,20.1,23,26
Haiti,0.9719,0.0283,0.8121,0.623,30.0,18,26
Iran,0.3576,0.0159,0.6777,0.5085,69.7,9,26
Iraq,0.701,0.0,1.0866,0.3292,33.0,10,26
Ivory Coast,0.4681,0.0219,0.542,0.3441,29.0,25,26
Japan,0.3926,0.0231,1.0537,0.4898,55.6,23,26
Jordan,0.5143,0.0,2.5714,0.7714,64.0,3,26
Mexico,0.9088,0.0684,0.8238,0.3932,53.4,26,26
Morocco,0.5219,0.0243,0.5149,0.4385,31.9,18,26
Netherlands,0.7019,0.0079,1.0511,0.6151,56.7,26,26
New Zealand,0.4479,0.0166,0.8726,0.3595,31.7,22,26
Norway,0.4548,0.0076,0.9945,0.5412,51.6,17,26
Panama,0.2587,0.0194,0.1998,0.2572,77.4,14,26
Paraguay,0.455,0.0125,0.3272,0.2782,44.8,16,26
Portugal,0.718,0.0361,1.1425,0.7564,72.3,26,26
Qatar,0.438,0.0247,0.8767,0.6517,53.6,12,26
Saudi Arabia,0.3729,0.0,0.3108,0.6837,,1,26
Scotland,0.4973,0.0044,0.7224,0.5732,45.1,24,26
Senegal,0.6192,0.0336,0.7343,0.4136,32.5,24,26
South Africa,0.3011,0.0458,0.3045,0.2226,17.5,4,26
South Korea,0.4272,0.0166,0.7394,0.5992,54.3,22,26
Spain,0.7307,0.0374,0.8665,0.7024,47.0,23,26
Sweden,0.4815,0.0119,1.2454,0.5637,32.4,26,26
Switzerland,0.4769,0.0128,0.5482,0.3103,68.7,24,26
Tunisia,1.7077,0.1069,0.6939,0.7636,29.8,14,26
Turkey,0.9308,0.0706,0.8417,0.7171,70.1,17,26
United States,0.6259,0.0118,1.2775,0.7454,55.4,24,26
Uruguay,0.5974,0.0151,0.4316,0.4081,62.9,23,26
Uzbekistan,3.5976,0.3333,0.7471,0.7605,59.8,5,26
