team_name,city,country,accommodation,training_site,lat,lon,altitude_m,timezone,tournament
Algeria,Lawrence,United States,The Oread Lawrence,University of Kansas,38.9717,-95.2353,264,America/Chicago,World Cup 2026
Argentina,Kansas City,United States,Origin Kansas City Riverfront,Sporting Kansas City Training Center,39.0997,-94.5786,277,America/Chicago,World Cup 2026
Australia,Berkeley,United States,Claremont Hotel & Spa,Oakland Roots SC Training Center,37.8716,-122.2727,52,America/Los_Angeles,World Cup 2026
Austria,Goleta,United States,Bacara Resort,Harder Stadium,34.4258,-119.8276,6,America/Los_Angeles,World Cup 2026
Belgium,Renton,United States,Lake Washington at Southport,Seattle Sounders FC High Performance Center and Clubhouse,47.4829,-122.2171,12,America/Los_Angeles,World Cup 2026
Bosnia and Herzegovina,Salt Lake City,United States,Salt Lake City Union Pacific Depot,Real Salt Lake Training Center,40.7608,-111.8910,1288,America/Denver,World Cup 2026
Brazil,Basking Ridge,United States,The Ridge,Columbia Park,40.7057,-74.5488,95,America/New_York,World Cup 2026
Canada,Vancouver,Canada,The Westin Bayshore,National Soccer Development Centre,49.2827,-123.1207,2,America/Vancouver,World Cup 2026
Cape Verde,Tampa,United States,Grand Hyatt Tampa Bay,Waters Sports Complex,27.9506,-82.4572,15,America/New_York,World Cup 2026
Colombia,Guadalajara,Mexico,Grand Fiesta Americana Country Club,Atlas FC Academy,20.6597,-103.3496,1566,America/Mexico_City,World Cup 2026
Croatia,Alexandria,United States,Hotel AKA Alexandria,Episcopal High School,38.8048,-77.0469,12,America/New_York,World Cup 2026
Curacao,Boca Raton,United States,Boca Raton Marriott at Boca Center,Florida Atlantic University,26.3683,-80.1289,4,America/New_York,World Cup 2026
Czech Republic,Arlington,United States,Hilton Garden Inn,Texas Health Mansfield Stadium,32.7357,-97.1081,184,America/Chicago,World Cup 2026
DR Congo,Houston,United States,Omni Hotels & Resorts,Houston Sports Park,29.7604,-95.3698,15,America/Chicago,World Cup 2026
Ecuador,Columbus,United States,Le Meridien Columbus,Historic Crew Stadium,39.9612,-82.9988,275,America/New_York,World Cup 2026
Egypt,Airway Heights,United States,Northern Quest Resort & Casino,Gonzaga University,47.6449,-117.5920,725,America/Los_Angeles,World Cup 2026
England,Kansas City,United States,The Inn at Meadowbrook,Swope Soccer Village,39.0997,-94.5786,277,America/Chicago,World Cup 2026
France,Boston,United States,Four Seasons Hotels and Resorts,Bentley University,42.3601,-71.0589,43,America/New_York,World Cup 2026
Germany,Winston-Salem,United States,Graylyn,Wake Forest University,36.0999,-80.2442,296,America/New_York,World Cup 2026
Ghana,Providence,United States,Providence Biltmore,Bryant University,41.8240,-71.4128,23,America/New_York,World Cup 2026
Haiti,Atlantic City,United States,Sheraton Atlantic City Convention Center Hotel,Stockton University,39.3643,-74.4229,2,America/New_York,World Cup 2026
Iran,Tijuana,Mexico,Hotel Marriott de Tijuana,Centro Xoloitzcuintle,32.5149,-117.0382,20,America/Tijuana,World Cup 2026
