"match_number","group","match_date","home_team","away_team","venue_id","stage","competition","season","referee_name"
"1","A","2026-06-11","Mexico","South Africa","mexico_city_azteca","Group Stage","FIFA World Cup","2026","Wilton Sampaio"
"2","A","2026-06-11","South Korea","Czech Republic","guadalajara_akron","Group Stage","FIFA World Cup","2026","Amin Mohamed"
"25","A","2026-06-18","Czech Republic","South Africa","atlanta_mercedes_benz","Group Stage","FIFA World Cup","2026",""
"28","A","2026-06-18","Mexico","South Korea","guadalajara_akron","Group Stage","FIFA World Cup","2026",""
"53","A","2026-06-24","Czech Republic","Mexico","mexico_city_azteca","Group Stage","FIFA World Cup","2026",""
"54","A","2026-06-24","South Africa","South Korea","monterrey_bbva","Group Stage","FIFA World Cup","2026",""
"3","B","2026-06-12","Canada","Bosnia and Herzegovina","toronto_bmo_field","Group Stage","FIFA World Cup","2026","Facundo Tello"
"8","B","2026-06-13","Qatar","Switzerland","san_francisco_bay_area_levis","Group Stage","FIFA World Cup","2026",""
"26","B","2026-06-18","Switzerland","Bosnia and Herzegovina","los_angeles_sofi","Group Stage","FIFA World Cup","2026",""
"27","B","2026-06-18","Canada","Qatar","vancouver_bc_place","Group Stage","FIFA World Cup","2026",""
"51","B","2026-06-24","Switzerland","Canada","vancouver_bc_place","Group Stage","FIFA World Cup","2026",""
"52","B","2026-06-24","Bosnia and Herzegovina","Qatar","seattle_lumen","Group Stage","FIFA World Cup","2026",""
"7","C","2026-06-13","Brazil","Morocco","new_york_new_jersey_metlife","Group Stage","FIFA World Cup","2026",""
"5","C","2026-06-13","Haiti","Scotland","boston_gillette","Group Stage","FIFA World Cup","2026",""
"29","C","2026-06-19","Brazil","Haiti","philadelphia_lincoln_financial","Group Stage","FIFA World Cup","2026",""
"30","C","2026-06-19","Scotland","Morocco","boston_gillette","Group Stage","FIFA World Cup","2026",""
"49","C","2026-06-24","Scotland","Brazil","miami_hard_rock","Group Stage","FIFA World Cup","2026",""
"50","C","2026-06-24","Morocco","Haiti","atlanta_mercedes_benz","Group Stage","FIFA World Cup","2026",""
"4","D","2026-06-12","United States","Paraguay","los_angeles_sofi","Group Stage","FIFA World Cup","2026","Danny Makkelie"
"6","D","2026-06-13","Australia","Turkey","vancouver_bc_place","Group Stage","FIFA World Cup","2026",""
"31","D","2026-06-19","Turkey","Paraguay","san_francisco_bay_area_levis","Group Stage","FIFA World Cup","2026",""
"32","D","2026-06-19","United States","Australia","seattle_lumen","Group Stage","FIFA World Cup","2026",""
"59","D","2026-06-25","Turkey","United States","los_angeles_sofi","Group Stage","FIFA World Cup","2026",""
"60","D","2026-06-25","Paraguay","Australia","san_francisco_bay_area_levis","Group Stage","FIFA World Cup","2026",""
"9","E","2026-06-14","Germany","Curacao","houston_nrg","Group Stage","FIFA World Cup","2026",""
"10","E","2026-06-14","Ivory Coast","Ecuador","philadelphia_lincoln_financial","Group Stage","FIFA World Cup","2026",""
"33","E","2026-06-20","Germany","Ivory Coast","toronto_bmo_field","Group Stage","FIFA World Cup","2026",""
"34","E","2026-06-20","Ecuador","Curacao","kansas_city_arrowhead","Group Stage","FIFA World Cup","2026",""
"56","E","2026-06-25","Ecuador","Germany","new_york_new_jersey_metlife","Group Stage","FIFA World Cup","2026",""
"55","E","2026-06-25","Curacao","Ivory Coast","philadelphia_lincoln_financial","Group Stage","FIFA World Cup","2026",""
"11","F","2026-06-14","Netherlands","Japan","dallas_att","Group Stage","FIFA World Cup","2026",""
"12","F","2026-06-14","Sweden","Tunisia","monterrey_bbva","Group Stage","FIFA World Cup","2026",""
"35","F","2026-06-20","Netherlands","Sweden","houston_nrg","Group Stage","FIFA World Cup","2026",""
"36","F","2026-06-20","Tunisia","Japan","monterrey_bbva","Group Stage","FIFA World Cup","2026",""
"57","F","2026-06-25","Japan","Sweden","kansas_city_arrowhead","Group Stage","FIFA World Cup","2026",""
"58","F","2026-06-25","Tunisia","Netherlands","dallas_att","Group Stage","FIFA World Cup","2026",""
"15","G","2026-06-15","Iran","New Zealand","los_angeles_sofi","Group Stage","FIFA World Cup","2026",""
"16","G","2026-06-15","Belgium","Egypt","seattle_lumen","Group Stage","FIFA World Cup","2026",""
