team_canonical,player_name,club,position_broad
Mexico,Carlos Acevedo,Santos Laguna,Goalkeeper
Mexico,Guillermo Ochoa,AEL Limassol,Goalkeeper
Mexico,Raúl Rangel,Chivas,Goalkeeper
Mexico,César Montes,Lokomotiv Moscow,Defender
Mexico,Israel Reyes,América,Defender
Mexico,Jesús Gallardo,Toluca,Defender
Mexico,Johan Vásquez,Genoa,Defender
Mexico,Jorge Sánchez,PAOK,Defender
Mexico,Mateo Chávez,AZ Alkmaar,Defender
Mexico,Edson Álvarez,Fenerbahce,Midfielder
Mexico,Álvaro Fidalgo,Real Betis,Midfielder
Mexico,Brian Gutiérrez,Chivas,Midfielder
Mexico,Erik Lira,Cruz Azul,Midfielder
Mexico,Gilberto Mora,Tijuana,Midfielder
Mexico,Luis Chávez,Dinamo Moscu,Midfielder
Mexico,Luis Romo,Chivas,Midfielder
Mexico,Obed Vargas,Atlético de Madrid,Midfielder
Mexico,Orbelín Pineda,AEK,Midfielder
Mexico,César Huerta,Anderlecht,Midfielder
Mexico,Alexis Vega,Toluca,Forward
Mexico,Armando González,Chivas,Forward
Mexico,Guillermo Martínez,Pumas,Forward
Mexico,Julián Quiñones,Al-Qadisiyah,Forward
Mexico,Raúl Jiménez,Fulham,Forward
Mexico,Roberto Alvarado,Chivas,Forward
Mexico,Santiago Gimenez,Milan,Forward
South Africa,Ronwen Williams,Mamelodi Sundowns C,Goalkeeper
South Africa,Ricardo Goss,Siwelele FC,Goalkeeper
South Africa,Veli Mothwa,AmaZulu FC,Goalkeeper
South Africa,Khuliso Mudau,Mamelodi Sundowns FC,Defender
South Africa,Aubrey Modiba,Mamelodi Sundowns FC,Defender
South Africa,Grant Kekana,Mamelodi Sundowns,Defender
South Africa,Mothobi Mvala,Mamelodi Sundowns,Defender
South Africa,Nkosinathi Sibisi,Orlando Pirates,Defender
South Africa,Siyanda Xulu,SuperSport United,Defender
South Africa,Terrence Mashego,Mamelodi Sundowns,Defender
South Africa,Thapelo Morena,Mamelodi Sundowns,Defender
South Africa,Teboho Mokoena,Mamelodi Sundowns FC,Midfielder
South Africa,Jayden Adams,Mamelodi Sundowns FC,Midfielder
South Africa,Sphephelo Sithole,CD Tondela,Midfielder
South Africa,Themba Zwane,Mamelodi Sundowns,Midfielder
South Africa,Bathusi Aubaas,Mamelodi Sundowns,Midfielder
South Africa,Grant Margeman,SuperSport United,Midfielder
South Africa,Luke Le Roux,IFK Värnamo,Midfielder
South Africa,Oswin Appollis,Orlando Pirates FC,Forward
South Africa,Evidence Makgopa,Orlando Pirates FC,Forward
South Africa,Lyle Foster,Burnley FC,Forward
South Africa,Iqraam Rayners,Mamelodi Sundowns FC,Forward
South Africa,Thapelo Maseko,AEL Limassol,Forward
South Africa,Bongokuhle Hlongwane,Minnesota United,Forward
South Africa,Mihlali Mayambela,Aris Limassol,Forward
South Africa,Percy Tau,Al Ahly SC,Forward
South Korea,Seung-Gyu Kim,FC Tokyo,Goalkeeper
South Korea,Bum-Keun Song,Jeonbuk Hyundai,Goalkeeper
South Korea,Hyeon-woo Jo,Ulsan HD,Goalkeeper
South Korea,Min-Jae Kim,Bayern Munich,Defender
South Korea,Young-Woo Seol,Red Star Belgrade,Defender
South Korea,Moon-Hwan Kim,Daejeon Hana,Defender
South Korea,Yu-min Cho,Sharjah FC,Defender
South Korea,Jae-won Hwang,Daegu FC,Defender
South Korea,Seung-hyun Jung,Al-Wasl,Defender
South Korea,Jin-su Kim,Jeonbuk Hyundai Motors,Defender
South Korea,Young-gwon Kim,Ulsan HD,Defender
South Korea,Myung-jae Lee,Ulsan HD,Defender
South Korea,Seung-Ho Paik,Birmingham City,Midfielder
South Korea,In-Beom Hwang,Feyenoord,Midfielder
South Korea,Jun-Ho Bae,Stoke City,Midfielder
South Korea,Jae-Sung Lee,Mainz,Midfielder
South Korea,Kang-In Lee,Paris Saint-Germain,Midfielder
South Korea,Hyun-seok Hong,1. FSV Mainz 05,Midfielder
South Korea,Woo-yeong Jeong,1. FC Union Berlin,Midfielder
South Korea,Yong-woo Park,Al-Ain,Midfielder
South Korea,Hee-chan Hwang,Wolverhampton Wanderers,Forward
South Korea,Heung-Min Son,LAFC,Forward
South Korea,Gue-sung Cho,FC Midtjylland,Forward
South Korea,Min-kyu Joo,Ulsan HD,Forward
South Korea,Hyeon-gyu Oh,KRC Genk,Forward
South Korea,Min-hyeok Yang,Tottenham Hotspur,Forward
Czech Republic,Lukás Hornícek,Braga,Goalkeeper
Czech Republic,Matej Kovár,PSV Eindhoven,Goalkeeper
Czech Republic,Jindrich Stanek,Slavia Prague,Goalkeeper
Czech Republic,Vladimír Coufal,Hoffenheim,Defender
Czech Republic,David Doudera,Slavia Prague,Defender
Czech Republic,Tomás Holes,Slavia Prague,Defender
Czech Republic,Robin Hranác,Hoffenheim,Defender
Czech Republic,Stepán Chaloupek,Slavia Prague,Defender
Czech Republic,David Jurásek,Slavia Prague,Defender
Czech Republic,Ladislav Krejcí,Wolverhampton,Defender
Czech Republic,Jaroslav Zeleny,Sparta Prague,Defender
Czech Republic,David Zima,Slavia Prague,Defender
Czech Republic,Lukás Cerv,Viktoria Plzen,Midfielder
Czech Republic,Vladimír Darida,Hradec Králové,Midfielder
Czech Republic,Lukás Provod,Slavia Prague,Midfielder
Czech Republic,Michal Sadílek,Slavia Prague,Midfielder
Czech Republic,Hugo Sochurek,Sparta Prague,Midfielder
Czech Republic,Alexandr Sojka,Viktoria Plzen,Midfielder
Czech Republic,Tomás Soucek,West Ham,Midfielder
Czech Republic,Pavel Sulc,Lyon,Midfielder
Czech Republic,Denis Visinsky,Viktoria Plzen,Midfielder
Czech Republic,Tomás Chory,Slavia Prague,Forward
Czech Republic,Adam Hlozek,Hoffenheim,Forward
Czech Republic,Mojmír Chytil,Slavia Prague,Forward
Czech Republic,Jan Kuchta,Sparta Prague,Forward
Czech Republic,Patrik Schick,Bayer Leverkusen,Forward
Canada,Maxime Crépeau,Orlando City SC,Goalkeeper
Canada,Owen Goodman,Barnsley FC,Goalkeeper
Canada,Dayne St. Clair,Inter Miami FC,Goalkeeper
Canada,Moïse Bombito,OGC Nice,Defender
Canada,Derek Cornelius,Olympique de Marseille,Defender
Canada,Alphonso Davies,Bayern Munich,Defender
Canada,Luc de Fougerolles,Fulham FC,Defender
Canada,Alistair Johnston,Celtic FC,Defender
Canada,Alfie Jones,Middlesbrough FC,Defender
Canada,Richie Laryea,Toronto FC,Defender
Canada,Niko Sigur,Hadjuk Split,Defender
Canada,Joel Waterman,Chicago Fire FC,Defender
Canada,Kamal Miller,Portland Timbers,Defender
Canada,Ali Ahmed,Norwich City FC,Midfielder
Canada,Tajon Buchanan,Villarreal CF,Midfielder
Canada,Mathieu Choinière,LAFC,Midfielder
Canada,Stephen Eustáquio,FC Porto,Midfielder
Canada,Marcelo Flores,Tigres UANL,Midfielder
Canada,Ismaël Koné,U.S. Sassuolo Calcio,Midfielder
Canada,Liam Millar,Hull City FC,Midfielder
Canada,Jonathan Osorio,Toronto FC,Midfielder
Canada,Jacob Shaffelburg,LAFC,Midfielder
Canada,Jonathan David,Juventus FC,Forward
Canada,Promise David,Royale Union Saint-Gilloise,Forward
Canada,Cyle Larin,RCD Mallorca,Forward
Canada,Tani Oluwaseyi,Villarreal CF,Forward
Bosnia and Herzegovina,Nikola Vasilj,St Pauli,Goalkeeper
Bosnia and Herzegovina,Martin Zlomislic,Rijeka,Goalkeeper
Bosnia and Herzegovina,Osman Hadzikic,Slaven Belupo,Goalkeeper
Bosnia and Herzegovina,Sead Kolasinac,Atalanta,Defender
Bosnia and Herzegovina,Amar Dedic,Benfica,Defender
Bosnia and Herzegovina,Nihad Mujakic,Gaziantep,Defender
Bosnia and Herzegovina,Nikola Katic,Schalke 04,Defender
Bosnia and Herzegovina,Tarik Muharemovic,Sassuolo,Defender
Bosnia and Herzegovina,Stjepan Radeljic,Rijeka,Defender
Bosnia and Herzegovina,Dennis Hadzikadunic,Sampdoria,Defender
Bosnia and Herzegovina,Nidal Celik,Lens,Defender
Bosnia and Herzegovina,Amir Hadziahmetovic,Hull City,Midfielder
Bosnia and Herzegovina,Ivan Sunjic,Pafos,Midfielder
Bosnia and Herzegovina,Ivan Basic,Astana,Midfielder
Bosnia and Herzegovina,Dzenis Burnic,Karlsruher SC,Midfielder
Bosnia and Herzegovina,Ermin Mahmic,Slovan Liberec,Midfielder
Bosnia and Herzegovina,Benjamin Tahirovic,Brondby,Midfielder
Bosnia and Herzegovina,Amar Memic,Viktoria Plzen,Midfielder
Bosnia and Herzegovina,Armin Gigovic,Young Boys,Midfielder
Bosnia and Herzegovina,Kerim Alajbegovic,RB Salzburg,Midfielder
Bosnia and Herzegovina,Esmir Bajraktarevic,PSV Eindhoven,Midfielder
Bosnia and Herzegovina,Ermedin Demirovic,VfB Stuttgart,Forward
Bosnia and Herzegovina,Jovo Lukic,Universitatea Cluj,Forward
Bosnia and Herzegovina,Samed Bazdar,Jagiellonia Bialystok,Forward
Bosnia and Herzegovina,Haris Tabakovic,Borussia Moenchengladbach,Forward
Bosnia and Herzegovina,Edin Dzeko,Schalke 04,Forward
Qatar,Salah Zakaria,Al Duhail,Goalkeeper
Qatar,Meshaal Barsham,Al Sadd,Goalkeeper
Qatar,Saad Al-Sheeb,Al-Sadd SC,Goalkeeper
Qatar,Sultan Al Brake,Al Duhail,Defender
Qatar,Lucas Mendes,Al Wakrah,Defender
Qatar,Almahdi Ali Mukhtar,Al-Wakrah SC,Defender
Qatar,Bassam Al-Rawi,Al-Rayyan SC,Defender
Qatar,Boualem Khoukhi,Al-Sadd SC,Defender
Qatar,Homam Ahmed,Al-Gharafa SC,Defender
Qatar,"Pedro Miguel ""Ró-Ró""",Al-Sadd SC,Defender
Qatar,Tarek Salman,Al-Sadd SC,Defender
Qatar,Mohammed Waad,Al-Sadd SC,Midfielder
Qatar,Abdulaziz Hatem,Al Rayyan,Midfielder
Qatar,Abdullah Al-Ahrak,Qatar SC,Midfielder
Qatar,Ahmed Fathy,Al-Arabi SC,Midfielder
Qatar,Ali Assadalla,Al-Sadd SC,Midfielder
Qatar,Jassem Gaber,Al-Arabi SC,Midfielder
Qatar,Mostafa Meshaal,Al-Sadd SC,Midfielder
Qatar,Almoez Ali,Al Duhail,Forward
