model_variant,home_team,away_team,mercado,seleccion,cuota,prob_modelo,ev_pct,win,profit,resultado_real
xgb_clean,Qatar,Ecuador,1X2-A,Ecuador,2.26,0.4413,-0.26,True,1.26,0-2
poisson_dixon_coles,Qatar,Ecuador,1X2-A,Ecuador,2.26,0.395,-10.73,True,1.26,0-2
ensemble_raw,Qatar,Ecuador,1X2-A,Ecuador,2.26,0.4078,-7.83,True,1.26,0-2
ensemble_calibrated,Qatar,Ecuador,1X2-A,Ecuador,2.26,0.4022,-9.09,True,1.26,0-2
xgb_clean,Qatar,Ecuador,1X2-H,Qatar,3.79,0.2969,12.54,False,-1.0,0-2
poisson_dixon_coles,Qatar,Ecuador,1X2-H,Qatar,3.79,0.2934,11.2,False,-1.0,0-2
ensemble_raw,Qatar,Ecuador,1X2-H,Qatar,3.79,0.2944,11.57,False,-1.0,0-2
ensemble_calibrated,Qatar,Ecuador,1X2-H,Qatar,3.79,0.2934,11.19,False,-1.0,0-2
xgb_clean,Qatar,Ecuador,1X2-D,Draw,3.17,0.2617,-17.03,False,-1.0,0-2
poisson_dixon_coles,Qatar,Ecuador,1X2-D,Draw,3.17,0.3116,-1.22,False,-1.0,0-2
ensemble_raw,Qatar,Ecuador,1X2-D,Draw,3.17,0.2978,-5.61,False,-1.0,0-2
ensemble_calibrated,Qatar,Ecuador,1X2-D,Draw,3.17,0.3044,-3.51,False,-1.0,0-2
xgb_clean,Senegal,Netherlands,1X2-A,Netherlands,1.64,0.6124,0.43,True,0.64,0-2
poisson_dixon_coles,Senegal,Netherlands,1X2-A,Netherlands,1.64,0.5982,-1.9,True,0.64,0-2
ensemble_raw,Senegal,Netherlands,1X2-A,Netherlands,1.64,0.6021,-1.25,True,0.64,0-2
ensemble_calibrated,Senegal,Netherlands,1X2-A,Netherlands,1.64,0.6168,1.15,True,0.64,0-2
xgb_clean,Senegal,Netherlands,1X2-H,Senegal,6.5,0.1803,17.23,False,-1.0,0-2
poisson_dixon_coles,Senegal,Netherlands,1X2-H,Senegal,6.5,0.1638,6.47,False,-1.0,0-2
ensemble_raw,Senegal,Netherlands,1X2-H,Senegal,6.5,0.1684,9.45,False,-1.0,0-2
ensemble_calibrated,Senegal,Netherlands,1X2-H,Senegal,6.5,0.1458,-5.22,False,-1.0,0-2
xgb_clean,Senegal,Netherlands,1X2-D,Draw,3.85,0.2073,-20.19,False,-1.0,0-2
poisson_dixon_coles,Senegal,Netherlands,1X2-D,Draw,3.85,0.238,-8.37,False,-1.0,0-2
ensemble_raw,Senegal,Netherlands,1X2-D,Draw,3.85,0.2295,-11.65,False,-1.0,0-2
ensemble_calibrated,Senegal,Netherlands,1X2-D,Draw,3.85,0.2374,-8.59,False,-1.0,0-2
xgb_clean,England,Iran,1X2-H,England,1.39,0.5962,-17.13,True,0.39,6-2
poisson_dixon_coles,England,Iran,1X2-H,England,1.39,0.6671,-7.27,True,0.39,6-2
ensemble_raw,England,Iran,1X2-H,England,1.39,0.6474,-10.01,True,0.39,6-2
ensemble_calibrated,England,Iran,1X2-H,England,1.39,0.6342,-11.85,True,0.39,6-2
