model_variant,ev_band,odds_band,bets,wins,hit_rate_pct,profit_units,roi_pct,avg_odds,avg_ev_pct
poisson_dixon_coles,10-30,all_odds,21,6,28.57,10.02,47.71,5.142,19.01
xgb_clean,10-30,all_odds,21,9,42.86,5.55,26.43,3.752,17.97
ensemble_raw,10-30,all_odds,24,8,33.33,0.62,2.58,4.032,20.38
ensemble_calibrated,10-30,all_odds,23,6,26.09,-12.02,-52.26,3.993,17.78
poisson_dixon_coles,10-30,core_1.5_2.5,4,3,75.0,1.61,40.25,1.865,14.92
ensemble_raw,10-30,core_1.5_2.5,5,3,60.0,0.61,12.2,1.978,19.12
xgb_clean,10-30,core_1.5_2.5,7,3,42.86,-1.28,-18.29,1.909,17.34
ensemble_calibrated,10-30,core_1.5_2.5,5,2,40.0,-1.38,-27.6,1.886,17.99
poisson_dixon_coles,10-30,mid_1.5_3.5,6,4,66.67,2.54,42.33,2.213,15.4
xgb_clean,10-30,mid_1.5_3.5,9,4,44.44,-0.35,-3.89,2.144,17.54
ensemble_raw,10-30,mid_1.5_3.5,9,4,44.44,-0.46,-5.11,2.317,20.03
ensemble_calibrated,10-30,mid_1.5_3.5,10,3,30.0,-3.45,-34.5,2.291,17.29
xgb_clean,10-30,review_2.5_4.0,5,3,60.0,5.63,112.6,3.486,16.26
poisson_dixon_coles,10-30,review_2.5_4.0,3,1,33.33,-0.07,-2.33,3.203,14.63
ensemble_raw,10-30,review_2.5_4.0,5,1,20.0,-2.07,-41.4,2.95,19.25
ensemble_calibrated,10-30,review_2.5_4.0,6,1,16.67,-3.07,-51.17,2.878,15.69
poisson_dixon_coles,10-40,all_odds,29,7,24.14,9.27,31.97,5.048,23.12
xgb_clean,10-40,all_odds,22,10,45.45,6.54,29.73,3.672,18.64
ensemble_raw,10-40,all_odds,26,9,34.62,2.61,10.04,3.973,21.61
ensemble_calibrated,10-40,all_odds,25,7,28.0,-10.03,-40.12,4.353,18.91
ensemble_raw,10-40,core_1.5_2.5,5,3,60.0,0.61,12.2,1.978,19.12
poisson_dixon_coles,10-40,core_1.5_2.5,5,3,60.0,0.61,12.2,1.978,18.13
xgb_clean,10-40,core_1.5_2.5,8,4,50.0,-0.29,-3.63,1.919,19.26
ensemble_calibrated,10-40,core_1.5_2.5,5,2,40.0,-1.38,-27.6,1.886,17.99
xgb_clean,10-40,mid_1.5_3.5,10,5,50.0,0.64,6.4,2.129,19.05
ensemble_raw,10-40,mid_1.5_3.5,10,4,40.0,-1.46,-14.6,2.337,21.39
poisson_dixon_coles,10-40,mid_1.5_3.5,10,4,40.0,-1.46,-14.6,2.337,22.4
ensemble_calibrated,10-40,mid_1.5_3.5,10,3,30.0,-3.45,-34.5,2.291,17.29
xgb_clean,10-40,review_2.5_4.0,5,3,60.0,5.63,112.6,3.486,16.26
ensemble_calibrated,10-40,review_2.5_4.0,7,2,28.57,-0.08,-1.14,3.037,17.85
ensemble_raw,10-40,review_2.5_4.0,7,2,28.57,-0.08,-1.14,3.037,24.13
poisson_dixon_coles,10-40,review_2.5_4.0,6,1,16.67,-3.07,-51.17,2.878,24.1
xgb_clean,15-40,all_odds,16,8,50.0,9.32,58.25,3.95,20.96
poisson_dixon_coles,15-40,all_odds,23,4,17.39,9.93,43.17,5.663,25.97
ensemble_raw,15-40,all_odds,22,8,36.36,5.14,23.36,4.054,23.54
ensemble_calibrated,15-40,all_odds,16,5,31.25,-3.98,-24.88,4.769,22.64
xgb_clean,15-40,core_1.5_2.5,5,3,60.0,0.96,19.2,1.984,23.41
ensemble_raw,15-40,core_1.5_2.5,5,3,60.0,0.61,12.2,1.978,19.12
ensemble_calibrated,15-40,core_1.5_2.5,4,2,50.0,-0.38,-9.5,1.975,19.9
poisson_dixon_coles,15-40,core_1.5_2.5,3,1,33.33,-1.25,-41.67,2.01,21.71
xgb_clean,15-40,mid_1.5_3.5,7,4,57.14,1.89,27.0,2.266,21.93
ensemble_calibrated,15-40,mid_1.5_3.5,6,3,50.0,0.55,9.17,2.225,20.94
ensemble_raw,15-40,mid_1.5_3.5,9,4,44.44,-0.46,-5.11,2.276,22.62
poisson_dixon_coles,15-40,mid_1.5_3.5,7,2,28.57,-2.32,-33.14,2.374,26.67
xgb_clean,15-40,review_2.5_4.0,4,3,75.0,6.63,165.75,3.41,17.19
ensemble_calibrated,15-40,review_2.5_4.0,3,2,66.67,3.92,130.67,3.147,25.61
ensemble_raw,15-40,review_2.5_4.0,5,2,40.0,1.92,38.4,2.916,29.4
poisson_dixon_coles,15-40,review_2.5_4.0,4,1,25.0,-1.07,-26.75,2.647,30.38
poisson_dixon_coles,5-40,all_odds,34,9,26.47,7.22,21.24,4.738,20.85
xgb_clean,5-40,all_odds,31,11,35.48,-1.17,-3.77,3.667,15.32
ensemble_raw,5-40,all_odds,36,11,30.56,-2.2,-6.11,4.01,17.61
ensemble_calibrated,5-40,all_odds,35,11,31.43,-5.58,-15.94,4.067,15.45
poisson_dixon_coles,5-40,core_1.5_2.5,6,3,50.0,-0.39,-6.5,2.013,16.74
xgb_clean,5-40,core_1.5_2.5,9,4,44.44,-1.29,-14.33,1.913,17.83
ensemble_calibrated,5-40,core_1.5_2.5,10,4,40.0,-2.89,-28.9,1.865,12.61
ensemble_raw,5-40,core_1.5_2.5,8,3,37.5,-2.39,-29.88,1.93,14.61
poisson_dixon_coles,5-40,mid_1.5_3.5,12,4,33.33,-3.46,-28.83,2.384,20.01
xgb_clean,5-40,mid_1.5_3.5,15,5,33.33,-4.36,-29.07,2.261,15.01
ensemble_calibrated,5-40,mid_1.5_3.5,16,5,31.25,-5.96,-37.25,2.196,13.42
ensemble_raw,5-40,mid_1.5_3.5,14,4,28.57,-5.46,-39.0,2.281,17.44
ensemble_calibrated,5-40,review_2.5_4.0,9,3,33.33,1.63,18.11,3.109,15.13
ensemble_raw,5-40,review_2.5_4.0,9,3,33.33,1.63,18.11,3.109,20.63
xgb_clean,5-40,review_2.5_4.0,9,3,33.33,1.63,18.11,3.132,12.18
poisson_dixon_coles,5-40,review_2.5_4.0,7,1,14.29,-4.07,-58.14,2.903,21.55
