home_team,away_team,mercado,seleccion,cuota,prob_modelo,ev_pct,apostada,win,profit,resultado_real,model_variant,match_key,strategy_market_ok,strategy_ev_ok,strategy_odds_ok,strategy_bet_allowed,strategy_reason,profit_strategy
Qatar,Ecuador,1X2-A,Ecuador,2.26,0.4511,1.95,False,True,0.0,0-2,legacy_model,Qatar vs Ecuador,True,False,True,False,ev_outside_range,0.0
Qatar,Ecuador,1X2-H,Qatar,3.79,0.2739,3.8,False,False,0.0,0-2,legacy_model,Qatar vs Ecuador,True,False,False,False,ev_outside_range,0.0
Qatar,Ecuador,1X2-D,Draw,3.17,0.275,-12.82,False,False,0.0,0-2,legacy_model,Qatar vs Ecuador,False,False,False,False,excluded_market,0.0
Senegal,Netherlands,1X2-A,Netherlands,1.64,0.6406,5.06,True,True,0.64,0-2,legacy_model,Senegal vs Netherlands,True,False,True,False,ev_outside_range,0.0
Senegal,Netherlands,1X2-H,Senegal,6.5,0.1676,8.96,True,False,-1.0,0-2,legacy_model,Senegal vs Netherlands,True,False,False,False,ev_outside_range,0.0
Senegal,Netherlands,1X2-D,Draw,3.85,0.1918,-26.18,False,False,0.0,0-2,legacy_model,Senegal vs Netherlands,False,False,False,False,excluded_market,0.0
England,Iran,1X2-H,England,1.39,0.6347,-11.77,False,True,0.0,6-2,legacy_model,England vs Iran,True,False,False,False,ev_outside_range,0.0
England,Iran,1X2-A,Iran,11.0,0.1377,51.45,True,False,-1.0,6-2,legacy_model,England vs Iran,True,False,False,False,ev_outside_range,0.0
England,Iran,1X2-D,Draw,4.75,0.2276,8.1,True,False,-1.0,6-2,legacy_model,England vs Iran,False,False,False,False,excluded_market,0.0
United States,Wales,1X2-H,USA,2.58,0.3213,-17.12,False,False,0.0,1-1,legacy_model,United States vs Wales,True,False,False,False,ev_outside_range,0.0
United States,Wales,1X2-A,Wales,3.26,0.3452,12.52,True,False,-1.0,1-1,legacy_model,United States vs Wales,True,True,False,False,odds_outside_range,0.0
United States,Wales,1X2-D,Draw,3.05,0.3336,1.74,False,True,0.0,1-1,legacy_model,United States vs Wales,False,False,False,False,excluded_market,0.0
Argentina,Saudi Arabia,1X2-H,Argentina,1.14,0.7961,-9.24,False,False,0.0,1-2,legacy_model,Argentina vs Saudi Arabia,True,False,False,False,ev_outside_range,0.0
Argentina,Saudi Arabia,1X2-A,Saudi Arabia,21.0,0.0404,-15.09,False,True,0.0,1-2,legacy_model,Argentina vs Saudi Arabia,True,False,False,False,ev_outside_range,0.0
Argentina,Saudi Arabia,1X2-D,Draw,10.0,0.1634,63.44,True,False,-1.0,1-2,legacy_model,Argentina vs Saudi Arabia,False,False,False,False,excluded_market,0.0
Mexico,Poland,1X2-H,Mexico,2.56,0.3314,-15.15,False,False,0.0,0-0,legacy_model,Mexico vs Poland,True,False,False,False,ev_outside_range,0.0
Mexico,Poland,1X2-A,Poland,3.27,0.3392,10.91,True,False,-1.0,0-0,legacy_model,Mexico vs Poland,True,True,False,False,odds_outside_range,0.0
