model_variant,segment,candidate_rows,bets,wins,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,profit_units,roi_pct,roi_ci95_low_pct,roi_ci95_high_pct,max_drawdown_units,avg_odds,min_odds,max_odds,avg_ev_pct,unique_matches,ev_band,odds_band,min_ev_pct,max_ev_pct,include_draws
legacy_model,overall,215,36,15,41.67,27.14,57.8,13.23,36.75,-33.13,106.63,-8.24,3.516,1.01,99.0,18.52,35,5-40,all_1.01_99,5.0,40.0,False
legacy_model,overall,215,31,14,45.16,29.16,62.23,10.73,34.61,-34.33,103.56,-6.24,3.257,1.01,99.0,15.96,30,5-30,all_1.01_99,5.0,30.0,False
legacy_model,overall,215,28,12,42.86,26.51,60.93,15.06,53.79,-32.77,140.34,-5.24,3.643,1.01,99.0,21.79,28,10-40,all_1.01_99,10.0,40.0,False
legacy_model,overall,215,23,11,47.83,29.24,67.04,12.56,54.61,-33.58,142.79,-3.24,3.322,1.01,99.0,19.05,23,10-30,all_1.01_99,10.0,30.0,False
legacy_model,overall,215,21,11,52.38,32.37,71.66,10.61,50.52,-32.22,133.27,-4.24,3.005,1.01,99.0,11.51,20,5-20,all_1.01_99,5.0,20.0,False
legacy_model,overall,215,21,9,42.86,24.47,63.45,-3.34,-15.9,-60.11,28.3,-4.43,2.231,1.5,3.5,16.04,21,5-40,mid_1.50_3.50,5.0,40.0,False
legacy_model,overall,215,20,7,35.0,18.12,56.71,7.88,39.4,-66.23,145.03,-6.72,3.906,1.01,99.0,25.76,20,15-40,all_1.01_99,15.0,40.0,False
legacy_model,overall,215,20,9,45.0,25.82,65.79,-2.34,-11.7,-57.36,33.96,-3.85,2.217,1.5,3.5,14.94,20,5-30,mid_1.50_3.50,5.0,30.0,False
legacy_model,overall,215,18,9,50.0,29.03,70.97,13.94,77.44,-31.29,186.18,-2.0,3.319,1.01,99.0,16.6,18,10-25,all_1.01_99,10.0,25.0,False
legacy_model,overall,215,15,6,40.0,19.82,64.25,5.38,35.87,-73.43,145.16,-4.72,3.501,1.01,99.0,22.89,15,15-30,all_1.01_99,15.0,30.0,False
legacy_model,overall,215,15,7,46.67,24.81,69.88,-0.96,-6.4,-61.36,48.56,-3.72,2.287,1.5,3.5,11.6,15,5-20,mid_1.50_3.50,5.0,20.0,False
legacy_model,overall,215,15,6,40.0,19.82,64.25,-3.51,-23.4,-73.24,26.44,-4.5,2.235,1.5,3.5,19.62,15,10-40,mid_1.50_3.50,10.0,40.0,False
legacy_model,overall,215,14,8,57.14,32.59,78.62,0.73,5.21,-45.38,55.81,-2.25,1.894,1.5,2.5,16.54,14,5-30,core_1.50_2.50,5.0,30.0,False
legacy_model,overall,215,14,8,57.14,32.59,78.62,0.73,5.21,-45.38,55.81,-2.25,1.894,1.5,2.5,16.54,14,5-40,core_1.50_2.50,5.0,40.0,False
legacy_model,overall,215,14,6,42.86,21.38,67.41,-2.51,-17.93,-70.21,34.35,-3.5,2.214,1.5,3.5,18.3,14,10-30,mid_1.50_3.50,10.0,30.0,False
legacy_model,overall,215,11,6,54.55,28.01,78.73,0.49,4.45,-55.74,64.65,-2.0,1.976,1.5,2.5,19.34,11,10-30,core_1.50_2.50,10.0,30.0,False
legacy_model,overall,215,11,6,54.55,28.01,78.73,0.49,4.45,-55.74,64.65,-2.0,1.976,1.5,2.5,19.34,11,10-40,core_1.50_2.50,10.0,40.0,False
legacy_model,overall,215,11,4,36.36,15.17,64.62,-3.13,-28.45,-88.1,31.19,-4.12,2.323,1.5,3.5,15.81,11,10-25,mid_1.50_3.50,10.0,25.0,False
legacy_model,overall,215,10,6,60.0,31.27,83.18,1.11,11.1,-49.93,72.13,-2.0,1.921,1.5,2.5,12.69,10,5-20,core_1.50_2.50,5.0,20.0,False
legacy_model,overall,215,10,4,40.0,16.82,68.73,-2.0,-20.0,-84.57,44.57,-3.0,2.132,1.5,3.5,23.56,10,15-40,mid_1.50_3.50,15.0,40.0,False
legacy_model,overall,215,9,4,44.44,18.88,73.34,-1.0,-11.11,-80.63,58.4,-3.0,2.089,1.5,3.5,21.96,9,15-30,mid_1.50_3.50,15.0,30.0,False
legacy_model,overall,215,8,4,50.0,21.52,78.48,0.0,0.0,-74.85,74.85,-2.0,2.009,1.5,2.5,22.19,8,15-30,core_1.50_2.50,15.0,30.0,False
legacy_model,overall,215,8,4,50.0,21.52,78.48,0.0,0.0,-74.85,74.85,-2.0,2.009,1.5,2.5,22.19,8,15-40,core_1.50_2.50,15.0,40.0,False
legacy_model,overall,215,8,4,50.0,21.52,78.48,-0.13,-1.63,-76.06,72.81,-2.0,2.036,1.5,2.5,16.3,8,10-25,core_1.50_2.50,10.0,25.0,False
legacy_model,overall,215,8,2,25.0,7.15,59.07,-1.36,-17.0,-124.47,90.47,-4.0,3.007,2.5,4.0,14.57,8,5-40,review_2.50_4.00,5.0,40.0,False
legacy_model,overall,215,7,2,28.57,8.22,64.11,-0.36,-5.14,-126.31,116.02,-4.0,3.077,2.5,4.0,11.22,7,5-30,review_2.50_4.00,5.0,30.0,False
legacy_model,overall,215,6,2,33.33,9.68,70.0,0.64,10.67,-127.93,149.26,-3.0,3.135,2.5,4.0,9.74,6,5-20,review_2.50_4.00,5.0,20.0,False
legacy_model,overall,215,5,1,20.0,3.62,62.45,-1.29,-25.8,-171.23,119.63,-3.0,3.098,2.5,4.0,18.58,5,10-40,review_2.50_4.00,10.0,40.0,False
legacy_model,overall,215,4,1,25.0,4.56,69.94,-0.29,-7.25,-189.04,174.54,-2.0,3.242,2.5,4.0,13.71,4,10-25,review_2.50_4.00,10.0,25.0,False
legacy_model,overall,215,4,1,25.0,4.56,69.94,-0.29,-7.25,-189.04,174.54,-2.0,3.242,2.5,4.0,13.71,4,10-30,review_2.50_4.00,10.0,30.0,False
legacy_model,overall,215,2,0,0.0,0.0,65.76,-2.0,-100.0,-100.0,-100.0,-2.0,2.625,2.5,4.0,29.06,2,15-40,review_2.50_4.00,15.0,40.0,False
legacy_model,overall,215,1,0,0.0,0.0,79.35,-1.0,-100.0,0.0,0.0,-1.0,2.73,2.5,4.0,20.08,1,15-30,review_2.50_4.00,15.0,30.0,False
