model_variant,segment,candidate_rows,bets,wins,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,profit_units,roi_pct,roi_ci95_low_pct,roi_ci95_high_pct,max_drawdown_units,avg_odds,min_odds,max_odds,avg_ev_pct,unique_matches,ev_band,odds_band,min_ev_pct,max_ev_pct,include_draws
ensemble_raw,overall,215,36,11,30.56,18.0,46.86,-2.2,-6.11,-64.22,51.99,-10.18,4.01,1.01,99.0,17.61,36,5-40,all_1.01_99,5.0,40.0,False
ensemble_calibrated,overall,215,35,11,31.43,18.55,47.98,-5.58,-15.94,-68.45,36.57,-8.69,4.067,1.01,99.0,15.45,34,5-40,all_1.01_99,5.0,40.0,False
poisson_dixon_coles,overall,215,34,9,26.47,14.6,43.12,7.22,21.24,-105.52,147.99,-12.77,4.738,1.01,99.0,20.85,34,5-40,all_1.01_99,5.0,40.0,False
ensemble_raw,overall,215,34,10,29.41,16.83,46.17,-4.19,-12.32,-70.96,46.31,-10.18,4.054,1.01,99.0,16.5,34,5-30,all_1.01_99,5.0,30.0,False
ensemble_calibrated,overall,215,33,10,30.3,17.38,47.34,-7.57,-22.94,-75.04,29.16,-8.69,3.798,1.01,99.0,14.46,32,5-30,all_1.01_99,5.0,30.0,False
xgb_clean,overall,215,31,11,35.48,21.12,53.05,-1.17,-3.77,-62.35,54.8,-7.76,3.667,1.01,99.0,15.32,29,5-40,all_1.01_99,5.0,40.0,False
xgb_clean,overall,215,30,10,33.33,19.23,51.22,-2.16,-7.2,-67.37,52.97,-7.76,3.723,1.01,99.0,14.74,28,5-30,all_1.01_99,5.0,30.0,False
poisson_dixon_coles,overall,215,29,7,24.14,12.22,42.11,9.27,31.97,-116.25,180.18,-10.72,5.048,1.01,99.0,23.12,29,10-40,all_1.01_99,10.0,40.0,False
poisson_dixon_coles,overall,215,26,8,30.77,16.5,49.99,7.97,30.65,-127.32,188.63,-12.7,4.718,1.01,99.0,16.83,26,5-30,all_1.01_99,5.0,30.0,False
ensemble_raw,overall,215,26,9,34.62,19.41,53.78,2.61,10.04,-64.9,84.98,-7.18,3.973,1.01,99.0,21.61,26,10-40,all_1.01_99,10.0,40.0,False
ensemble_calibrated,overall,215,25,8,32.0,17.2,51.59,-2.92,-11.68,-78.16,54.8,-7.04,3.783,1.01,99.0,11.58,24,5-20,all_1.01_99,5.0,20.0,False
ensemble_calibrated,overall,215,25,7,28.0,14.28,47.58,-10.03,-40.12,-82.94,2.7,-13.02,4.353,1.01,99.0,18.91,25,10-40,all_1.01_99,10.0,40.0,False
ensemble_raw,overall,215,24,8,33.33,17.97,53.29,0.62,2.58,-74.48,79.65,-7.18,4.032,1.01,99.0,20.38,24,10-30,all_1.01_99,10.0,30.0,False
xgb_clean,overall,215,24,7,29.17,14.91,49.17,-6.76,-28.17,-79.04,22.7,-11.14,3.927,1.01,99.0,12.27,22,5-20,all_1.01_99,5.0,20.0,False
poisson_dixon_coles,overall,215,23,4,17.39,6.98,37.14,9.93,43.17,-143.31,229.66,-10.07,5.663,1.01,99.0,25.97,23,15-40,all_1.01_99,15.0,40.0,False
ensemble_calibrated,overall,215,23,6,26.09,12.55,46.47,-12.02,-52.26,-87.59,-16.93,-12.02,3.993,1.01,99.0,17.78,23,10-30,all_1.01_99,10.0,30.0,False
