model_variant,segment,candidate_rows,bets,wins,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,profit_units,roi_pct,roi_ci95_low_pct,roi_ci95_high_pct,max_drawdown_units,avg_odds,min_odds,max_odds,avg_ev_pct,unique_matches
ensemble_calibrated,1X2-A,63,3,1,33.33,6.15,79.23,-1.13,-37.67,-159.84,84.51,-2.0,1.75,1.53,1.87,17.19,3
ensemble_raw,1X2-A,63,2,1,50.0,9.45,90.55,-0.13,-6.5,-189.76,176.76,-1.0,1.86,1.85,1.87,17.41,2
poisson_dixon_coles,1X2-A,63,2,1,50.0,9.45,90.55,-0.13,-6.5,-189.76,176.76,-1.0,1.86,1.85,1.87,15.98,2
xgb_clean,1X2-A,63,4,1,25.0,4.56,69.94,-2.13,-53.25,-144.88,38.38,-2.13,1.77,1.53,1.87,17.81,4
ensemble_calibrated,1X2-H,63,2,1,50.0,9.45,90.55,-0.25,-12.5,-184.0,159.0,-1.0,2.09,1.75,2.43,19.19,2
ensemble_raw,1X2-H,63,3,2,66.67,20.77,93.85,0.74,24.67,-98.26,147.59,-1.0,2.057,1.75,2.43,20.27,3
poisson_dixon_coles,1X2-H,63,3,2,66.67,20.77,93.85,0.74,24.67,-98.26,147.59,-1.0,2.057,1.75,2.43,19.55,3
xgb_clean,1X2-H,63,4,3,75.0,30.06,95.44,1.84,46.0,-50.46,142.46,-1.0,2.067,1.75,2.43,20.71,4
ensemble_calibrated,overall,215,5,2,40.0,11.76,76.93,-1.38,-27.6,-114.58,59.38,-1.38,1.886,1.53,2.43,17.99,5
ensemble_raw,overall,215,5,3,60.0,23.07,88.24,0.61,12.2,-77.89,102.29,-1.13,1.978,1.75,2.43,19.12,5
poisson_dixon_coles,overall,215,5,3,60.0,23.07,88.24,0.61,12.2,-77.89,102.29,-1.13,1.978,1.75,2.43,18.13,5
xgb_clean,overall,215,8,4,50.0,21.52,78.48,-0.29,-3.63,-75.35,68.1,-2.0,1.919,1.53,2.43,19.26,8
