home_team,away_team,mercado,seleccion,cuota,prob_modelo,ev_pct,apostada,win,profit,resultado_real,market_family,market_key,line,strategy_ev_ok,strategy_odds_ok,strategy_bet_allowed,strategy_reason,strategy_profit_units
England,United States,Over2.5,Over,2.04,0.5434,10.85,True,False,-1.0,0-0,total_goals,total_goals_2_5,2.5,True,True,True,allowed,-1.0
England,United States,Under2.5,Under,1.87,0.4566,-14.61,False,True,0.0,0-0,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Brazil,Switzerland,Over2.5,Over,2.06,0.4509,-7.12,False,False,0.0,1-0,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Brazil,Switzerland,Under2.5,Under,1.86,0.5491,2.13,False,True,0.0,1-0,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Wales,England,Over2.5,Over,2.04,0.4725,-3.62,False,True,0.0,0-3,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Wales,England,Under2.5,Under,1.87,0.5275,-1.35,False,False,0.0,0-3,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Saudi Arabia,Mexico,Over2.5,Over,1.98,0.4212,-16.59,False,True,0.0,1-2,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Saudi Arabia,Mexico,Under2.5,Under,1.93,0.5788,11.7,True,False,-1.0,1-2,total_goals,total_goals_2_5,2.5,True,True,True,allowed,-1.0
Australia,Denmark,Over2.5,Over,2.0,0.4042,-19.17,False,False,0.0,1-0,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Australia,Denmark,Under2.5,Under,1.91,0.5958,13.81,True,True,0.91,1-0,total_goals,total_goals_2_5,2.5,True,True,True,allowed,0.91
Tunisia,France,Over2.5,Over,1.93,0.4474,-13.65,False,False,0.0,1-0,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Tunisia,France,Under2.5,Under,1.95,0.5526,7.76,True,True,0.95,1-0,total_goals,total_goals_2_5,2.5,True,True,True,allowed,0.95
Croatia,Belgium,Over2.5,Over,2.06,0.4461,-8.11,False,False,0.0,0-0,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Croatia,Belgium,Under2.5,Under,1.85,0.5539,2.48,False,True,0.0,0-0,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Japan,Spain,Over2.5,Over,1.93,0.4445,-14.21,False,True,0.0,2-1,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Japan,Spain,Under2.5,Under,1.97,0.5555,9.43,True,False,-1.0,2-1,total_goals,total_goals_2_5,2.5,True,True,True,allowed,-1.0
Serbia,Switzerland,Over2.5,Over,1.97,0.4497,-11.42,False,True,0.0,2-3,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Serbia,Switzerland,Under2.5,Under,1.93,0.5503,6.21,True,False,-1.0,2-3,total_goals,total_goals_2_5,2.5,True,True,True,allowed,-1.0
South Korea,Portugal,Over2.5,Over,1.95,0.4584,-10.61,False,True,0.0,2-1,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
South Korea,Portugal,Under2.5,Under,1.95,0.5416,5.61,True,False,-1.0,2-1,total_goals,total_goals_2_5,2.5,True,True,True,allowed,-1.0
Ghana,Uruguay,Over2.5,Over,2.06,0.4311,-11.2,False,False,0.0,0-2,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Ghana,Uruguay,Under2.5,Under,1.85,0.5689,5.25,True,True,0.85,0-2,total_goals,total_goals_2_5,2.5,True,True,True,allowed,0.85
Croatia,Brazil,Over2.5,Over,1.96,0.4163,-18.4,False,False,0.0,1-1,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Croatia,Brazil,Under2.5,Under,1.94,0.5837,13.23,True,True,0.94,1-1,total_goals,total_goals_2_5,2.5,True,True,True,allowed,0.94
Croatia,Morocco,Over2.5,Over,1.93,0.4256,-17.85,False,True,0.0,2-1,total_goals,total_goals_2_5,2.5,False,True,False,ev_outside_range,0.0
Croatia,Morocco,Under2.5,Under,1.98,0.5744,13.72,True,False,-1.0,2-1,total_goals,total_goals_2_5,2.5,True,True,True,allowed,-1.0
