market,bin_lo,bin_hi,n,conf,acc,gap
1X2 Visitante (A),0.0,0.1,1114,0.0536,0.0575,0.0038
1X2 Visitante (A),0.1,0.2,996,0.1476,0.1456,0.002
1X2 Visitante (A),0.2,0.3,716,0.2461,0.2696,0.0234
1X2 Visitante (A),0.3,0.4,549,0.3515,0.3661,0.0147
1X2 Visitante (A),0.4,0.5,429,0.443,0.4779,0.0349
1X2 Visitante (A),0.5,0.6,290,0.5445,0.5483,0.0038
1X2 Visitante (A),0.6,0.7,175,0.6451,0.7029,0.0578
1X2 Visitante (A),0.7,0.8,94,0.7473,0.7553,0.008
1X2 Visitante (A),0.8,0.9,68,0.8537,0.8529,0.0008
1X2 Visitante (A),0.9,1.0,78,0.9343,0.9615,0.0273
1X2 Empate (D),0.0,0.1,504,0.0524,0.0794,0.027
1X2 Empate (D),0.1,0.2,866,0.1592,0.1663,0.0071
1X2 Empate (D),0.2,0.3,2062,0.2547,0.2556,0.0008
1X2 Empate (D),0.3,0.4,1035,0.3294,0.3111,0.0183
1X2 Empate (D),0.4,0.5,40,0.428,0.225,0.203
1X2 Empate (D),0.5,0.6,2,0.5263,0.0,0.5263
1X2 Local (H),0.0,0.1,245,0.05,0.049,0.0011
1X2 Local (H),0.1,0.2,389,0.1564,0.1414,0.015
1X2 Local (H),0.2,0.3,496,0.2527,0.2278,0.0249
1X2 Local (H),0.3,0.4,564,0.3472,0.3528,0.0056
1X2 Local (H),0.4,0.5,635,0.4502,0.4441,0.0061
1X2 Local (H),0.5,0.6,574,0.5513,0.5105,0.0408
1X2 Local (H),0.6,0.7,565,0.6488,0.6549,0.0061
1X2 Local (H),0.7,0.8,499,0.7468,0.7515,0.0047
1X2 Local (H),0.8,0.9,257,0.8457,0.8366,0.0091
1X2 Local (H),0.9,1.0,285,0.9447,0.9088,0.036
Over 2.5,0.2,0.3,15,0.2845,0.1333,0.1512
Over 2.5,0.3,0.4,796,0.3728,0.3907,0.0179
Over 2.5,0.4,0.5,2218,0.4457,0.4364,0.0092
Over 2.5,0.5,0.6,805,0.5389,0.5056,0.0333
Over 2.5,0.6,0.7,343,0.6449,0.6152,0.0298
Over 2.5,0.7,0.8,193,0.7426,0.7306,0.0121
Over 2.5,0.8,0.9,105,0.8476,0.8476,0.0001
Over 2.5,0.9,1.0,34,0.9303,0.9118,0.0185
BTTS,0.0,0.1,13,0.0821,0.0,0.0821
BTTS,0.1,0.2,61,0.1605,0.1967,0.0362
BTTS,0.2,0.3,281,0.2631,0.2242,0.0389
BTTS,0.3,0.4,745,0.3582,0.357,0.0012
BTTS,0.4,0.5,2703,0.4537,0.4432,0.0105
BTTS,0.5,0.6,684,0.5272,0.4547,0.0725
BTTS,0.6,0.7,21,0.6269,0.619,0.0079
BTTS,0.7,0.8,1,0.7008,1.0,0.2992
