date,home_team,away_team,lambda_home,lambda_away,top_score,exp_home_goals,exp_away_goals,xgb_pred_result,xgb_pred_goals,xgb_pred_corners,xgb_pred_yellows,xgb_1X2_H,poi_1X2_H,avg_1X2_H,diff_1X2_H,conf_1X2_H,xgb_1X2_D,poi_1X2_D,avg_1X2_D,diff_1X2_D,conf_1X2_D,xgb_1X2_A,poi_1X2_A,avg_1X2_A,diff_1X2_A,conf_1X2_A,xgb_over25,poi_over25,avg_over25,diff_over25,conf_over25,xgb_btts,poi_btts,avg_btts,diff_btts,conf_btts,confidence
2026-06-11,Mexico,South Africa,2.37,0.703,2-0,2.363,0.702,H,2.890000104904175,9.0600004196167,,1.32,1.34,1.33,1.5,ALTA,7.04,6.17,6.61,13.2,MEDIA,9.78,10.83,10.3,10.2,MEDIA,1.85,1.69,1.77,9.0,ALTA,2.4,2.18,2.29,9.6,ALTA,MEDIA
2026-06-11,South Korea,Czech Republic,1.503,0.952,1-0,1.503,0.952,H,2.5899999141693115,11.220000267028809,,2.32,2.0,2.16,14.8,MEDIA,3.07,3.84,3.46,22.3,MEDIA,4.11,4.18,4.14,1.7,ALTA,2.08,2.25,2.17,7.9,ALTA,2.08,2.09,2.08,0.5,ALTA,MEDIA
2026-06-12,United States,Paraguay,0.949,1.536,0-1,0.949,1.536,A,2.4800000190734863,8.149999618530273,,3.89,4.28,4.08,9.5,ALTA,3.6,3.89,3.75,7.7,ALTA,2.15,1.96,2.05,9.2,ALTA,2.1,2.21,2.16,5.1,ALTA,2.05,2.08,2.06,1.5,ALTA,ALTA
2026-06-12,Canada,Bosnia and Herzegovina,1.799,0.757,1-0,1.798,0.757,H,2.630000114440918,8.949999809265137,,1.67,1.61,1.64,3.7,ALTA,3.86,4.44,4.15,14.0,MEDIA,7.04,6.55,6.79,7.2,ALTA,2.0,2.13,2.06,6.3,ALTA,2.27,2.26,2.26,0.4,ALTA,MEDIA
2026-06-13,Brazil,Morocco,1.428,0.886,1-0,1.428,0.886,H,2.390000104904175,9.5,,2.11,2.01,2.06,4.9,ALTA,3.34,3.71,3.52,10.5,MEDIA,4.41,4.28,4.35,3.0,ALTA,2.33,2.45,2.39,5.0,ALTA,1.98,2.24,2.11,12.3,MEDIA,MEDIA
2026-06-13,Australia,Turkey,1.083,1.353,1-1,1.083,1.353,A,2.450000047683716,10.34000015258789,,4.21,3.34,3.77,23.0,MEDIA,3.29,3.69,3.49,11.5,MEDIA,2.18,2.33,2.25,6.7,ALTA,2.36,2.27,2.31,3.9,ALTA,2.03,2.04,2.04,0.5,ALTA,MEDIA
2026-06-13,Qatar,Switzerland,0.657,2.525,0-2,0.656,2.513,A,2.819999933242798,12.3100004196167,,16.34,13.25,14.79,20.9,MEDIA,3.69,6.91,5.3,60.8,BAJA,1.5,1.28,1.39,15.8,MEDIA,2.4,1.63,2.01,38.2,BAJA,2.49,2.25,2.37,10.1,MEDIA,BAJA
2026-06-13,Haiti,Scotland,1.094,1.421,1-1,1.094,1.421,A,2.390000104904175,9.539999961853027,,4.54,3.44,3.99,27.6,BAJA,3.97,3.78,3.88,4.9,ALTA,1.89,2.25,2.07,17.4,MEDIA,2.25,2.17,2.21,3.6,ALTA,1.97,1.98,1.98,0.5,ALTA,BAJA
2026-06-14,Ivory Coast,Ecuador,0.791,1.449,0-1,0.791,1.449,A,2.1600000858306885,8.239999771118164,,5.49,4.89,5.19,11.6,MEDIA,2.96,3.73,3.34,23.0,MEDIA,2.09,1.9,1.99,9.5,ALTA,2.36,2.58,2.47,8.9,ALTA,1.98,2.39,2.19,18.8,MEDIA,MEDIA
2026-06-14,Germany,Curacao,2.545,0.713,2-0,2.533,0.712,H,3.0899999141693115,8.539999961853027,,1.24,1.3,1.27,4.7,ALTA,7.43,6.8,7.12,8.9,ALTA,17.15,12.12,14.63,34.4,BAJA,1.59,1.59,1.59,0.0,ALTA,2.06,2.13,2.09,3.3,ALTA,BAJA
2026-06-14,Netherlands,Japan,1.28,1.122,1-1,1.28,1.122,A,2.490000009536743,8.0600004196167,,3.53,2.5,3.01,34.2,BAJA,4.92,3.63,4.28,30.2,BAJA,1.95,3.09,2.52,45.2,BAJA,1.81,2.32,2.06,24.7,MEDIA,2.08,2.05,2.06,1.5,ALTA,BAJA
2026-06-14,Sweden,Tunisia,1.215,1.538,1-1,1.215,1.537,A,2.5299999713897705,10.56999969482422,,3.64,3.32,3.48,9.2,ALTA,3.52,3.98,3.75,12.3,MEDIA,2.27,2.23,2.25,1.8,ALTA,2.19,1.93,2.06,12.6,MEDIA,2.13,1.81,1.97,16.2,MEDIA,MEDIA
