date,home_team,away_team,mercado,seleccion,bookmaker,cuota,prob_modelo,cuota_justa,ev_pct,fiabilidad_pct,fiabilidad_nivel
2026-06-12,United States,Paraguay,1X2 Visitante (A),Paraguay,winamax_fr,3.65,0.4268,2.343,55.78,66.4,ALTA
2026-06-16,Iraq,Norway,1X2 Empate (D),Draw,winamax_fr,6.5,0.216,4.63,40.4,36.1,BAJA
2026-06-17,Ghana,Panama,1X2 Visitante (A),Panama,winamax_fr,3.45,0.4003,2.498,38.1,62.1,MEDIA
2026-06-22,Jordan,Algeria,1X2 Local (H),Jordan,winamax_fr,5.3,0.2559,3.908,35.63,55.6,MEDIA
2026-06-16,Austria,Jordan,1X2 Visitante (A),Jordan,winamax_fr,7.75,0.1733,5.77,34.31,61.6,MEDIA
2026-06-21,Belgium,Iran,1X2 Visitante (A),Iran,winamax_fr,6.25,0.2139,4.675,33.69,67.0,ALTA
2026-06-14,Sweden,Tunisia,1X2 Visitante (A),Tunisia,winamax_fr,3.95,0.3367,2.97,33.0,59.5,MEDIA
2026-06-14,Ivory Coast,Ecuador,1X2 Visitante (A),Ecuador,winamax_fr,2.25,0.5856,1.708,31.76,48.3,BAJA
2026-06-25,Curacao,Ivory Coast,1X2 Local (H),Curaçao,winamax_fr,8.0,0.1643,6.086,31.44,46.9,BAJA
2026-06-16,Iraq,Norway,1X2 Local (H),Iraq,winamax_fr,10.5,0.1232,8.117,29.36,36.1,BAJA
2026-06-13,Brazil,Morocco,1X2 Visitante (A),Morocco,winamax_fr,5.2,0.2432,4.112,26.46,62.2,MEDIA
2026-06-17,Uzbekistan,Colombia,1X2 Local (H),Uzbekistan,winamax_fr,7.25,0.1738,5.754,26.01,60.4,MEDIA
2026-06-16,Austria,Jordan,1X2 Empate (D),Draw,winamax_fr,5.5,0.2272,4.401,24.96,61.6,MEDIA
2026-06-25,Ecuador,Germany,1X2 Local (H),Ecuador,winamax_fr,4.2,0.2971,3.366,24.78,69.1,ALTA
2026-06-14,Germany,Curacao,1X2 Visitante (A),Curaçao,winamax_fr,35.0,0.0351,28.49,22.85,67.7,ALTA
2026-06-25,Curacao,Ivory Coast,1X2 Empate (D),Draw,winamax_fr,5.0,0.2437,4.103,21.85,46.9,BAJA
2026-06-15,Iran,New Zealand,1X2 Local (H),Iran,winamax_fr,1.86,0.6346,1.576,18.04,59.6,MEDIA
2026-06-17,Portugal,DR Congo,1X2 Empate (D),Draw,winamax_fr,5.8,0.1989,5.028,15.36,55.4,MEDIA
2026-06-17,Uzbekistan,Colombia,1X2 Empate (D),Draw,winamax_fr,4.5,0.2548,3.925,14.66,60.4,MEDIA
2026-06-12,Canada,Bosnia and Herzegovina,1X2 Empate (D),Draw,winamax_fr,3.7,0.3089,3.237,14.29,51.8,MEDIA
2026-06-26,Egypt,Iran,1X2 Visitante (A),Iran,winamax_fr,3.05,0.372,2.688,13.46,49.8,BAJA
2026-06-27,DR Congo,Uzbekistan,1X2 Empate (D),Draw,winamax_fr,2.95,0.3814,2.622,12.51,37.6,BAJA
2026-06-14,Germany,Curacao,1X2 Empate (D),Draw,winamax_fr,15.0,0.0744,13.441,11.6,67.7,ALTA
2026-06-18,Czech Republic,South Africa,1X2 Local (H),Czech Republic,winamax_fr,1.84,0.6057,1.651,11.45,47.1,BAJA
2026-06-13,Haiti,Scotland,1X2 Empate (D),Draw,winamax_fr,4.4,0.2531,3.951,11.36,45.9,BAJA
2026-06-27,Croatia,Ghana,1X2 Local (H),Croatia,winamax_fr,1.52,0.7322,1.366,11.29,53.7,MEDIA
2026-06-25,Japan,Sweden,1X2 Local (H),Japan,winamax_fr,1.9,0.5845,1.711,11.05,53.6,MEDIA
2026-06-20,Netherlands,Sweden,1X2 Local (H),Netherlands,winamax_fr,1.54,0.7207,1.388,10.99,56.1,MEDIA
2026-06-19,United States,Australia,1X2 Visitante (A),Australia,winamax_fr,4.0,0.2757,3.627,10.28,72.2,ALTA
2026-06-13,Australia,Turkey,1X2 Local (H),Australia,winamax_fr,4.2,0.2614,3.826,9.79,69.3,ALTA
2026-06-21,New Zealand,Egypt,1X2 Empate (D),Draw,winamax_fr,3.5,0.3095,3.231,8.33,53.0,MEDIA
2026-06-24,Scotland,Brazil,1X2 Empate (D),Draw,winamax_fr,3.9,0.2776,3.602,8.26,51.7,MEDIA
2026-06-18,Switzerland,Bosnia and Herzegovina,1X2 Local (H),Switzerland,winamax_fr,1.56,0.6935,1.442,8.19,73.5,ALTA
2026-06-13,Australia,Turkey,1X2 Empate (D),Draw,winamax_fr,3.6,0.2977,3.359,7.17,69.3,ALTA
2026-06-25,Turkey,United States,1X2 Local (H),Turkey,winamax_fr,2.4,0.446,2.242,7.04,71.6,ALTA
2026-06-21,New Zealand,Egypt,1X2 Local (H),New Zealand,winamax_fr,4.4,0.243,4.115,6.92,53.0,MEDIA
2026-06-17,Ghana,Panama,1X2 Empate (D),Draw,winamax_fr,3.55,0.2992,3.342,6.22,62.1,MEDIA
2026-06-23,England,Ghana,1X2 Local (H),England,winamax_fr,1.25,0.8482,1.179,6.02,50.9,MEDIA
2026-06-14,Netherlands,Japan,1X2 Visitante (A),Japan,winamax_fr,3.4,0.3093,3.233,5.16,93.0,MUY ALTA
2026-06-18,Mexico,South Korea,1X2 Empate (D),Draw,winamax_fr,3.25,0.3202,3.123,4.06,73.9,ALTA
2026-06-22,Jordan,Algeria,1X2 Empate (D),Draw,winamax_fr,3.9,0.2652,3.771,3.43,55.6,MEDIA
2026-06-23,Panama,Croatia,1X2 Local (H),Panama,winamax_fr,5.8,0.1777,5.627,3.07,73.1,ALTA
2026-06-13,Qatar,Switzerland,1X2 Empate (D),Draw,winamax_fr,6.25,0.1646,6.075,2.88,49.8,BAJA
2026-06-15,Belgium,Egypt,1X2 Local (H),Belgium,winamax_fr,1.6,0.6427,1.556,2.83,42.9,BAJA
2026-06-17,Portugal,DR Congo,1X2 Visitante (A),DR Congo,winamax_fr,9.0,0.1138,8.787,2.42,55.4,MEDIA
2026-06-20,Germany,Ivory Coast,1X2 Local (H),Germany,winamax_fr,1.48,0.6906,1.448,2.21,52.2,MEDIA
2026-06-26,Norway,France,1X2 Local (H),Norway,winamax_fr,3.65,0.2779,3.598,1.43,86.6,MUY ALTA
2026-06-24,Bosnia and Herzegovina,Qatar,1X2 Visitante (A),Qatar,winamax_fr,5.0,0.2028,4.931,1.4,61.6,MEDIA
2026-06-22,Norway,Senegal,1X2 Local (H),Norway,winamax_fr,1.96,0.5159,1.938,1.12,46.8,BAJA
2026-06-25,Ecuador,Germany,1X2 Empate (D),Draw,winamax_fr,3.45,0.293,3.413,1.09,69.1,ALTA
2026-06-23,Panama,Croatia,1X2 Empate (D),Draw,winamax_fr,3.95,0.2544,3.931,0.49,73.1,ALTA
2026-06-11,Mexico,South Africa,1X2 Local (H),Mexico,winamax_fr,1.39,0.7208,1.387,0.19,35.9,BAJA
2026-06-23,Portugal,Uzbekistan,1X2 Empate (D),Draw,winamax_fr,5.4,0.1844,5.423,-0.42,64.7,MEDIA
2026-06-21,Belgium,Iran,1X2 Empate (D),Draw,winamax_fr,4.3,0.2314,4.322,-0.5,67.0,ALTA
2026-06-24,South Africa,South Korea,1X2 Visitante (A),South Korea,winamax_fr,1.8,0.552,1.812,-0.64,33.0,MUY BAJA
2026-06-16,Argentina,Algeria,1X2 Local (H),Argentina,winamax_fr,1.38,0.7199,1.389,-0.65,55.1,MEDIA
2026-06-26,Uruguay,Spain,1X2 Visitante (A),Spain,winamax_fr,1.49,0.6667,1.5,-0.66,55.3,MEDIA
2026-06-25,Paraguay,Australia,1X2 Local (H),Paraguay,winamax_fr,1.96,0.5068,1.973,-0.67,64.2,MEDIA
2026-06-14,Sweden,Tunisia,1X2 Empate (D),Draw,winamax_fr,3.45,0.2874,3.479,-0.85,59.5,MEDIA
