date,home_team,away_team,mercado,seleccion,bookmaker,cuota,prob_modelo,cuota_justa,ev_pct,fiabilidad_pct,fiabilidad_nivel
2026-06-16,Iraq,Norway,Under 2.5,Under,pmu_fr,2.33,0.5324,1.878,24.05,36.1,BAJA
2026-06-16,Iraq,Norway,Under 2.5,Under,williamhill,2.3,0.5324,1.878,22.45,36.1,BAJA
2026-06-16,Austria,Jordan,Under 2.5,Under,pmu_fr,2.28,0.5272,1.897,20.2,61.6,MEDIA
2026-06-25,Curacao,Ivory Coast,Under 2.5,Under,williamhill,2.15,0.5428,1.842,16.7,46.9,BAJA
2026-06-16,Austria,Jordan,Under 2.5,Under,williamhill,2.2,0.5272,1.897,15.98,61.6,MEDIA
2026-06-20,Ecuador,Curacao,Over 2.5,Over,williamhill,1.67,0.6906,1.448,15.33,63.7,MEDIA
2026-06-20,Netherlands,Sweden,Over 2.5,Over,pinnacle,1.92,0.5989,1.67,14.99,56.1,MEDIA
2026-06-23,England,Ghana,Over 2.5,Over,williamhill,1.67,0.6775,1.476,13.14,50.9,MEDIA
2026-06-15,Belgium,Egypt,Over 2.5,Over,pinnacle,2.04,0.5484,1.823,11.87,42.9,BAJA
2026-06-14,Ivory Coast,Ecuador,Over 2.5,Over,williamhill,2.62,0.4257,2.349,11.53,48.3,BAJA
2026-06-18,Czech Republic,South Africa,Over 2.5,Over,williamhill,2.2,0.504,1.984,10.88,47.1,BAJA
2026-06-20,Netherlands,Sweden,Over 2.5,Over,williamhill,1.85,0.5989,1.67,10.8,56.1,MEDIA
2026-06-27,Jordan,Argentina,Under 2.5,Under,williamhill,2.38,0.4645,2.153,10.55,62.2,MEDIA
2026-06-27,Croatia,Ghana,Over 2.5,Over,williamhill,2.1,0.5256,1.903,10.38,53.7,MEDIA
2026-06-11,Mexico,South Africa,Over 2.5,Over,pmu_fr,2.08,0.5268,1.898,9.57,35.9,BAJA
2026-06-12,United States,Paraguay,Over 2.5,Over,williamhill,2.3,0.4716,2.12,8.47,66.4,ALTA
2026-06-23,England,Ghana,Over 2.5,Over,pmu_fr,1.6,0.6775,1.476,8.4,50.9,MEDIA
2026-06-13,Haiti,Scotland,Under 2.5,Under,williamhill,1.91,0.5622,1.779,7.38,45.9,BAJA
2026-06-18,Switzerland,Bosnia and Herzegovina,Over 2.5,Over,williamhill,1.95,0.55,1.818,7.25,73.5,ALTA
2026-06-25,Tunisia,Netherlands,Under 2.5,Under,pinnacle,1.95,0.5499,1.819,7.23,46.4,BAJA
2026-06-20,Netherlands,Sweden,Over 2.5,Over,pmu_fr,1.79,0.5989,1.67,7.2,56.1,MEDIA
2026-06-18,Czech Republic,South Africa,Over 2.5,Over,pmu_fr,2.12,0.504,1.984,6.85,47.1,BAJA
2026-06-13,Haiti,Scotland,Under 2.5,Under,pinnacle,1.9,0.5622,1.779,6.82,45.9,BAJA
2026-06-21,Spain,Saudi Arabia,Over 2.5,Over,williamhill,1.44,0.7414,1.349,6.76,35.5,BAJA
2026-06-19,Turkey,Paraguay,Over 2.5,Over,williamhill,2.3,0.4631,2.159,6.51,63.5,MEDIA
2026-06-25,Japan,Sweden,Over 2.5,Over,williamhill,2.05,0.5166,1.936,5.9,53.6,MEDIA
2026-06-17,Uzbekistan,Colombia,Under 2.5,Under,pinnacle,1.88,0.5631,1.776,5.86,60.4,MEDIA
2026-06-25,Ecuador,Germany,Under 2.5,Under,pinnacle,1.88,0.5615,1.781,5.56,69.1,ALTA
