market,line,data_quality_tier,rows,players,avg_probability,min_fair_odds,max_fair_odds,paper_tracking_rows,manual_review_rows
fouls_committed,0.5,A,1142,381,0.4025,1.201,11.49,735,990
fouls_committed,0.5,B,372,124,0.439,1.152,7.756,282,303
fouls_committed,0.5,C,135,45,0.4125,1.28,10.653,0,99
fouls_committed,1.5,A,625,229,0.1717,1.873,12.483,511,142
fouls_committed,1.5,B,219,79,0.2127,1.663,12.49,191,81
fouls_committed,1.5,C,68,24,0.2251,2.228,11.423,0,34
goalkeeper_saves,1.5,A,53,20,0.3638,1.217,12.313,3,27
goalkeeper_saves,1.5,B,37,13,0.4062,1.25,11.809,3,17
goalkeeper_saves,2.5,A,33,11,0.2748,1.642,8.638,3,14
goalkeeper_saves,2.5,B,22,9,0.3305,1.738,12.317,3,14
goalkeeper_saves,3.5,A,14,6,0.2262,2.593,12.159,3,6
goalkeeper_saves,3.5,B,14,5,0.2423,2.847,9.989,3,9
shots,0.5,A,1132,378,0.4809,1.046,12.223,726,723
shots,0.5,B,359,120,0.5138,1.051,11.924,275,197
shots,0.5,C,117,39,0.4726,1.075,11.104,0,77
shots,1.5,A,730,258,0.278,1.22,12.434,503,380
shots,1.5,B,228,78,0.3456,1.244,12.482,183,142
shots,1.5,C,75,26,0.2667,1.344,11.881,0,37
shots,2.5,A,336,124,0.1917,1.652,12.496,245,93
shots,2.5,B,135,49,0.2276,1.722,12.135,112,55
shots,2.5,C,37,13,0.1663,2.012,11.84,0,6
shots_on_target,0.5,A,914,309,0.2692,1.271,12.471,617,470
shots_on_target,0.5,B,272,92,0.3202,1.397,12.483,218,174
shots_on_target,0.5,C,88,30,0.2738,1.818,12.441,0,57
shots_on_target,1.5,A,231,86,0.1485,2.185,12.493,166,27
shots_on_target,1.5,B,92,36,0.1804,2.793,12.336,72,29
shots_on_target,1.5,C,13,5,0.1498,5.244,11.911,0,0
tackles,1.5,A,496,191,0.1476,2.238,12.499,414,58
tackles,1.5,B,172,63,0.1974,1.663,11.973,155,59
tackles,1.5,C,55,21,0.217,1.766,12.115,0,20
tackles,2.5,A,31,15,0.1211,5.139,12.082,30,0
tackles,2.5,B,40,15,0.1349,3.022,12.498,40,3
tackles,2.5,C,12,4,0.1722,3.376,12.006,0,4
yellow_card,0.5,A,544,193,0.1328,3.068,12.487,429,27
yellow_card,0.5,B,207,73,0.1456,2.451,12.327,167,27
yellow_card,0.5,C,85,30,0.1828,2.221,12.445,0,29
yellow_card,0.5,D,53,19,0.2084,1.885,12.296,0,0
