date,home_team,away_team,fiabilidad_pct,fiabilidad_nivel,sig_coverage,sig_caps,sig_agreement
2026-06-19,United States,Australia,89.7,MUY ALTA,0.865,0.805,1.0
2026-06-27,Panama,England,87.9,MUY ALTA,0.75,0.915,1.0
2026-06-13,Australia,Turkey,86.8,MUY ALTA,0.731,0.904,1.0
2026-06-26,Norway,France,86.6,MUY ALTA,0.788,0.803,1.0
2026-06-11,South Korea,Czech Republic,85.1,MUY ALTA,0.769,0.775,1.0
2026-06-19,Scotland,Morocco,81.2,MUY ALTA,0.808,0.557,1.0
2026-06-27,Jordan,Argentina,79.7,ALTA,0.558,0.897,1.0
2026-06-17,Ghana,Panama,79.6,ALTA,0.712,0.645,1.0
2026-06-17,England,Croatia,79.5,ALTA,0.981,0.91,0.5
2026-06-27,Colombia,Portugal,78.3,ALTA,0.962,0.893,0.5
2026-06-14,Netherlands,Japan,75.5,ALTA,0.942,0.813,0.5
2026-06-24,Switzerland,Canada,75.0,ALTA,0.923,0.824,0.5
2026-06-18,Mexico,South Korea,73.9,ALTA,0.923,0.779,0.5
2026-06-18,Switzerland,Bosnia and Herzegovina,73.5,ALTA,0.846,0.887,0.5
2026-06-23,Panama,Croatia,73.1,ALTA,0.769,0.995,0.5
2026-06-27,Algeria,Austria,71.9,ALTA,0.769,0.947,0.5
2026-06-25,Turkey,United States,71.6,ALTA,0.788,0.901,0.5
2026-06-25,Japan,Sweden,71.1,ALTA,0.942,0.637,0.5
2026-06-24,Czech Republic,Mexico,70.6,ALTA,0.846,0.768,0.5
2026-06-26,New Zealand,Belgium,70.2,ALTA,0.904,0.662,0.5
2026-06-24,Scotland,Brazil,69.2,ALTA,0.923,0.59,0.5
2026-06-25,Ecuador,Germany,69.1,ALTA,0.846,0.709,0.5
2026-06-14,Germany,Curacao,67.7,ALTA,0.827,0.683,0.5
2026-06-21,Belgium,Iran,67.0,ALTA,0.654,0.933,0.5
2026-06-12,United States,Paraguay,66.4,ALTA,0.769,0.725,0.5
2026-06-23,Portugal,Uzbekistan,64.7,MEDIA,0.596,0.933,0.5
2026-06-25,Paraguay,Australia,64.2,MEDIA,0.712,0.729,0.5
2026-06-20,Ecuador,Curacao,63.7,MEDIA,0.788,0.588,0.5
2026-06-19,Turkey,Paraguay,63.5,MEDIA,0.635,0.824,0.5
2026-06-13,Brazil,Morocco,62.2,MEDIA,0.808,0.495,0.5
2026-06-24,Bosnia and Herzegovina,Qatar,61.6,MEDIA,0.615,0.778,0.5
2026-06-22,Argentina,Austria,61.0,MEDIA,0.942,0.934,0.0
2026-06-15,Spain,Cape Verde,60.5,MEDIA,0.75,0.52,0.5
2026-06-17,Uzbekistan,Colombia,60.4,MEDIA,0.558,0.826,0.5
2026-06-15,Iran,New Zealand,59.6,MEDIA,0.596,0.729,0.5
2026-06-14,Sweden,Tunisia,59.5,MEDIA,0.769,0.45,0.5
2026-06-15,Saudi Arabia,Uruguay,58.7,MEDIA,0.462,0.91,0.5
2026-06-26,Cape Verde,Saudi Arabia,57.0,MEDIA,0.327,0.359,1.0
2026-06-20,Netherlands,Sweden,56.1,MEDIA,1.0,0.645,0.0
2026-06-22,Jordan,Algeria,55.6,MEDIA,0.385,0.91,0.5
2026-06-17,Portugal,DR Congo,55.4,MEDIA,0.942,0.709,0.0
2026-06-26,Uruguay,Spain,55.3,MEDIA,0.885,0.795,0.0
2026-06-16,Argentina,Algeria,55.1,MEDIA,0.827,0.881,0.0
2026-06-27,Croatia,Ghana,53.7,MEDIA,0.942,0.64,0.0
2026-06-16,France,Senegal,53.5,MEDIA,0.923,0.665,0.0
2026-06-21,New Zealand,Egypt,53.0,MEDIA,0.519,0.59,0.5
2026-06-20,Germany,Ivory Coast,52.2,MEDIA,0.923,0.612,0.0
2026-06-12,Canada,Bosnia and Herzegovina,51.8,MEDIA,0.846,0.717,0.0
2026-06-23,Colombia,DR Congo,51.2,MEDIA,0.904,0.602,0.0
2026-06-23,England,Ghana,50.9,MEDIA,0.923,0.561,0.0
2026-06-13,Qatar,Switzerland,49.8,BAJA,0.692,0.885,0.0
2026-06-26,Egypt,Iran,49.8,BAJA,0.269,0.86,0.5
2026-06-14,Ivory Coast,Ecuador,48.3,BAJA,0.885,0.517,0.0
2026-06-18,Czech Republic,South Africa,47.1,BAJA,0.423,0.509,0.5
2026-06-25,Curacao,Ivory Coast,46.9,BAJA,0.865,0.491,0.0
2026-06-22,Norway,Senegal,46.8,BAJA,0.788,0.609,0.0
2026-06-25,Tunisia,Netherlands,46.4,BAJA,0.769,0.626,0.0
2026-06-13,Haiti,Scotland,45.9,BAJA,0.808,0.543,0.0
2026-06-21,Uruguay,Cape Verde,45.9,BAJA,0.75,0.635,0.0
2026-06-18,Canada,Qatar,45.6,BAJA,0.692,0.715,0.0
2026-06-19,Brazil,Haiti,44.3,BAJA,0.808,0.481,0.0
2026-06-16,Austria,Jordan,44.1,BAJA,0.5,0.963,0.0
2026-06-20,Tunisia,Japan,43.9,BAJA,0.712,0.618,0.0
2026-06-15,Belgium,Egypt,42.9,BAJA,0.577,0.793,0.0
